verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,001,06:00,06:15,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,002,06:15,06:30,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,003,06:30,06:45,0,,3,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,004,06:45,07:00,1,,2,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,005,07:00,07:15,0,,7,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,006,07:15,07:30,3,,8,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,007,07:30,07:45,0,,4,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,008,07:45,08:00,0,,4,1,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,009,08:00,08:15,0,,7,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,010,08:15,08:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,011,08:30,08:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,012,08:45,09:00,2,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,013,09:00,09:15,2,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,014,09:15,09:30,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,015,09:30,09:45,5,,6,0,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,016,09:45,10:00,3,,9,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,017,10:00,10:15,3,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,018,10:15,10:30,1,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,019,10:30,10:45,4,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,020,10:45,11:00,1,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Große Diesdorfer Straße / Arndtstraße,021,11:00,11:15,0,,6,1,0,0,2
