verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,001,06:00,06:15,0,,15,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,002,06:15,06:30,3,,32,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,003,06:30,06:45,2,,51,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,004,06:45,07:00,2,,46,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,005,07:00,07:15,2,,68,10,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,006,07:15,07:30,3,,59,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,007,07:30,07:45,4,,67,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,008,07:45,08:00,3,,52,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,009,08:00,08:15,2,,50,5,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,010,08:15,08:30,9,,37,3,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,011,08:30,08:45,3,,41,1,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,012,08:45,09:00,3,,34,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,013,09:00,09:15,2,,33,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,014,09:15,09:30,2,,30,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,015,09:30,09:45,1,,36,9,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,016,09:45,10:00,6,,50,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,017,10:00,10:15,5,,47,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,018,10:15,10:30,0,,29,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,019,10:30,10:45,2,,36,6,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,020,10:45,11:00,0,,36,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,021,11:00,11:15,5,,39,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,022,11:15,11:30,3,,43,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,023,11:30,11:45,2,,52,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,024,11:45,12:00,1,,37,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,025,12:00,12:15,9,,33,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Hohenstaufenringi. R. Pfälzer Platz,026,12:15,12:30,4,,49,2,2,0,0
