verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,001,06:00,06:15,3,,23,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,002,06:15,06:30,3,,26,3,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,003,06:30,06:45,9,,59,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,004,06:45,07:00,5,,55,7,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,005,07:00,07:15,4,,47,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,006,07:15,07:30,6,,65,11,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,007,07:30,07:45,10,,94,6,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,008,07:45,08:00,12,,73,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,009,08:00,08:15,10,,41,6,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,010,08:15,08:30,9,,31,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,011,08:30,08:45,6,,41,5,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,012,08:45,09:00,6,,39,8,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,013,09:00,09:15,4,,30,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,014,09:15,09:30,6,,33,5,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,015,09:30,09:45,5,,38,8,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,016,09:45,10:00,10,,32,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,017,10:00,10:15,5,,39,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,018,10:15,10:30,6,,35,5,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,019,10:30,10:45,2,,54,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,020,10:45,11:00,6,,39,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,021,11:00,11:15,6,,33,3,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,022,11:15,11:30,9,,34,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,023,11:30,11:45,1,,37,2,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,024,11:45,12:00,2,,28,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,025,12:00,12:15,6,,42,2,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hohepfortestraßei. R. Pfälzer Platz,026,12:15,12:30,5,,38,2,0,0,0
