verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,001,06:00,06:15,0,,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,002,06:15,06:30,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,003,06:30,06:45,1,,17,4,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,004,06:45,07:00,0,,36,4,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,005,07:00,07:15,5,,39,9,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,006,07:15,07:30,16,,53,6,1,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,007,07:30,07:45,4,,52,8,1,1,3
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,008,07:45,08:00,1,,37,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,009,08:00,08:15,2,,23,7,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,010,08:15,08:30,0,,29,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,011,08:30,08:45,0,,27,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,012,08:45,09:00,5,,32,5,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,013,09:00,09:15,1,,18,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,014,09:15,09:30,0,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,015,09:30,09:45,1,,33,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,016,09:45,10:00,1,,29,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,017,10:00,10:15,0,,33,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,018,10:15,10:30,0,,35,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,019,10:30,10:45,1,,37,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,020,10:45,11:00,2,,45,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,021,11:00,11:15,0,,34,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,022,11:15,11:30,2,,27,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,023,11:30,11:45,2,,32,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,024,11:45,12:00,2,,24,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kirschweg (BrückeMR) West,025,12:00,12:15,1,,34,4,1,0,0
