verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),001,06:00,06:15,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),002,06:15,06:30,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),003,06:30,06:45,2,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),004,06:45,07:00,0,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),005,07:00,07:15,2,,1,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),006,07:15,07:30,1,,3,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),007,07:30,07:45,0,,5,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),008,07:45,08:00,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),009,08:00,08:15,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),010,08:15,08:30,3,,8,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),011,08:30,08:45,0,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),012,08:45,09:00,0,,6,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),013,09:00,09:15,1,,3,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),014,09:15,09:30,0,,0,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),015,09:30,09:45,6,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),016,09:45,10:00,4,,7,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),017,10:00,10:15,3,,16,1,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),018,10:15,10:30,1,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),019,10:30,10:45,2,,12,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),020,10:45,11:00,1,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),021,11:00,11:15,3,,8,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),022,11:15,11:30,2,,15,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Klusdamm (W),023,11:30,11:45,1,,12,1,0,0,0
