verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,001,06:00,06:15,1,,0,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,002,06:15,06:30,0,,3,1,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,003,06:30,06:45,0,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,004,06:45,07:00,0,,3,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,005,07:00,07:15,0,,4,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,006,07:15,07:30,1,,9,1,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,007,07:30,07:45,1,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,008,07:45,08:00,0,,6,1,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,009,08:00,08:15,0,,2,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,010,08:15,08:30,0,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,011,08:30,08:45,2,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,012,08:45,09:00,0,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,013,09:00,09:15,0,,5,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,014,09:15,09:30,0,,0,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,015,09:30,09:45,0,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,016,09:45,10:00,1,,0,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,017,10:00,10:15,0,,1,0,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,018,10:15,10:30,1,,1,1,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Johann-Gottlob-Nathusius-Ring i. R. Pfälzer Platz,019,10:30,10:45,0,,2,0,0,0,0
