verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),001,06:00,06:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),002,06:15,06:30,0,,12,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),003,06:30,06:45,0,,9,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),004,06:45,07:00,0,,14,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),005,07:00,07:15,0,,30,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),006,07:15,07:30,0,,38,2,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),007,07:30,07:45,0,,11,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),008,07:45,08:00,0,,19,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),009,08:00,08:15,0,,9,2,1,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),010,08:15,08:30,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),011,08:30,08:45,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),012,08:45,09:00,0,,16,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),013,09:00,09:15,0,,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),014,09:15,09:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),015,09:30,09:45,0,,9,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),016,09:45,10:00,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),017,10:00,10:15,0,,11,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),018,10:15,10:30,0,,10,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),019,10:30,10:45,0,,12,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),020,10:45,11:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),021,11:00,11:15,0,,7,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kreisstraße (W),022,11:15,11:30,0,,11,0,0,0,0
