verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),001,06:00,06:15,1,,14,3,1,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),002,06:15,06:30,1,,19,0,0,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),003,06:30,06:45,2,,27,1,1,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),004,06:45,07:00,3,,32,1,0,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),005,07:00,07:15,0,,44,1,0,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),006,07:15,07:30,4,,50,0,1,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),007,07:30,07:45,1,,34,0,0,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),008,07:45,08:00,2,,42,2,0,0,0
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),009,08:00,08:15,1,,39,3,0,0,1
1,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Pfälzer Straße i. R. Pfälzer Platz  (Radfalschfahrer nicht erfa),010,08:15,08:30,4,,33,0,0,0,1
