verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),001,06:00,06:15,1,,49,1,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),002,06:15,06:30,4,,66,2,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),003,06:30,06:45,9,,97,15,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),004,06:45,07:00,14,,98,8,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),005,07:00,07:15,10,,109,6,1,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),006,07:15,07:30,11,,96,7,4,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),007,07:30,07:45,11,,127,3,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),008,07:45,08:00,12,,100,9,2,1,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),009,08:00,08:15,9,,92,10,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),010,08:15,08:30,8,,60,6,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),011,08:30,08:45,5,,84,3,3,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),012,08:45,09:00,7,,77,8,7,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),013,09:00,09:15,6,,70,8,6,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),014,09:15,09:30,6,,55,4,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),015,09:30,09:45,5,,55,7,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),016,09:45,10:00,8,,80,3,0,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),017,10:00,10:15,3,,69,8,3,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),018,10:15,10:30,4,,55,5,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),019,10:30,10:45,4,,57,6,1,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),020,10:45,11:00,6,,53,4,3,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),021,11:00,11:15,6,,68,5,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),022,11:15,11:30,11,,75,9,3,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),023,11:30,11:45,8,,70,8,5,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),024,11:45,12:00,14,,52,5,4,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),025,12:00,12:15,3,,68,3,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),026,12:15,12:30,6,,53,6,4,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),027,12:30,12:45,6,,49,3,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),028,12:45,13:00,4,,52,5,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),029,13:00,13:15,11,,77,5,2,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),030,13:15,13:30,13,,61,3,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),031,13:30,13:45,6,,68,12,5,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),032,13:45,14:00,5,,52,5,5,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße(W),033,14:00,14:15,10,,61,9,3,1,1
