verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,001,06:00,06:15,1,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,002,06:15,06:30,2,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,003,06:30,06:45,1,,36,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,004,06:45,07:00,5,,25,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,005,07:00,07:15,2,,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,006,07:15,07:30,2,,43,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,007,07:30,07:45,1,,49,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,008,07:45,08:00,2,,33,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,009,08:00,08:15,2,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,010,08:15,08:30,0,,23,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,011,08:30,08:45,2,,25,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,012,08:45,09:00,2,,11,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,013,09:00,09:15,2,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,014,09:15,09:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,015,09:30,09:45,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,016,09:45,10:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,017,10:00,10:15,0,,10,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,018,10:15,10:30,0,,11,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,019,10:30,10:45,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,020,10:45,11:00,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,021,11:00,11:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,022,11:15,11:30,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,023,11:30,11:45,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,024,11:45,12:00,0,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,025,12:00,12:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,026,12:15,12:30,2,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,027,12:30,12:45,2,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,028,12:45,13:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,029,13:00,13:15,2,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,030,13:15,13:30,3,,18,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,031,13:30,13:45,0,,11,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,032,13:45,14:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,033,14:00,14:15,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,034,14:15,14:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,035,14:30,14:45,2,,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,036,14:45,15:00,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,037,15:00,15:15,0,,25,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,038,15:15,15:30,0,,23,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,039,15:30,15:45,2,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,040,15:45,16:00,0,,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,041,16:00,16:15,2,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,042,16:15,16:30,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,043,16:30,16:45,1,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,044,16:45,17:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,045,17:00,17:15,0,,6,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,046,17:15,17:30,0,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,047,17:30,17:45,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,048,17:45,18:00,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,049,18:00,18:15,1,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,050,18:15,18:30,2,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,051,18:30,18:45,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,052,18:45,19:00,0,,7,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,001,06:00,06:15,4,,45,4,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,002,06:15,06:30,5,,47,8,1,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,003,06:30,06:45,4,,63,6,2,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,004,06:45,07:00,6,,80,16,0,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,005,07:00,07:15,11,,102,5,3,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,006,07:15,07:30,5,,66,8,2,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,007,07:30,07:45,8,,46,6,3,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,008,07:45,08:00,6,,63,7,1,0,3
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,009,08:00,08:15,2,,62,2,1,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,010,08:15,08:30,2,,45,10,1,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,011,08:30,08:45,4,,68,11,1,2,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,012,08:45,09:00,6,,44,3,1,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,013,09:00,09:15,3,,51,5,3,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,014,09:15,09:30,3,,29,8,0,1,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,015,09:30,09:45,4,,30,2,4,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,016,09:45,10:00,3,,38,1,2,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,017,10:00,10:15,2,,26,2,3,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,018,10:15,10:30,6,,37,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,019,10:30,10:45,3,,38,7,0,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,020,10:45,11:00,4,,36,5,5,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,021,11:00,11:15,2,,48,4,0,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,022,11:15,11:30,1,,46,6,4,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,023,11:30,11:45,5,,31,5,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,024,11:45,12:00,3,,39,7,1,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,025,12:00,12:15,3,,47,5,2,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,026,12:15,12:30,1,,40,2,0,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,027,12:30,12:45,2,,41,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,028,12:45,13:00,2,,38,6,4,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,029,13:00,13:15,6,,49,6,1,2,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,030,13:15,13:30,4,,51,4,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,031,13:30,13:45,2,,55,6,3,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,032,13:45,14:00,2,,51,7,0,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,033,14:00,14:15,6,,56,5,3,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,034,14:15,14:30,4,,44,2,0,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,035,14:30,14:45,4,,63,3,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,036,14:45,15:00,7,,55,6,2,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,037,15:00,15:15,9,,71,8,0,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,038,15:15,15:30,9,,68,5,2,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,039,15:30,15:45,9,,51,6,0,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,040,15:45,16:00,6,,58,4,0,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,041,16:00,16:15,7,,76,8,0,1,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,042,16:15,16:30,4,,57,1,0,0,1
