verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),001,06:00,06:15,2,,70,1,1,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),002,06:15,06:30,5,,62,4,2,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),003,06:30,06:45,7,,113,12,4,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),004,06:45,07:00,6,,113,7,7,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),005,07:00,07:15,17,,5,145,12,4,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),006,07:15,07:30,9,,165,7,3,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),007,07:30,07:45,4,,100,3,6,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),008,07:45,08:00,11,,130,9,5,3,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),009,08:00,08:15,3,,88,4,5,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),010,08:15,08:30,5,,92,6,3,6,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),011,08:30,08:45,5,,92,7,6,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),012,08:45,09:00,5,,108,0,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),013,09:00,09:15,4,,88,4,2,4,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),014,09:15,09:30,6,,106,5,4,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),015,09:30,09:45,8,,95,5,7,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),016,09:45,10:00,5,,90,5,8,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),017,10:00,10:15,4,,92,6,2,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),018,10:15,10:30,9,,105,8,4,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),019,10:30,10:45,5,,97,6,5,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),020,10:45,11:00,4,,91,6,7,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),021,11:00,11:15,11,,107,14,6,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),022,11:15,11:30,7,,105,11,2,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),023,11:30,11:45,4,,77,9,7,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),024,11:45,12:00,6,,112,5,5,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),025,12:00,12:15,7,,85,13,3,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),026,12:15,12:30,5,,92,11,7,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),027,12:30,12:45,7,,73,3,7,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),028,12:45,13:00,9,,94,5,7,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),029,13:00,13:15,7,,154,9,7,4,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),030,13:15,13:30,9,,119,5,4,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),031,13:30,13:45,10,,103,3,1,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),032,13:45,14:00,7,,126,5,5,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),033,14:00,14:15,12,,141,14,6,3,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),034,14:15,14:30,9,,165,4,7,3,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),035,14:30,14:45,16,,156,5,3,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),036,14:45,15:00,7,,166,6,4,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),037,15:00,15:15,10,,69,7,6,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),038,15:15,15:30,16,,200,11,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),039,15:30,15:45,14,,183,10,0,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),040,15:45,16:00,9,,188,4,3,2,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),041,16:00,16:15,17,,222,10,6,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),042,16:15,16:30,17,,148,8,3,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),043,16:30,16:45,10,,191,9,5,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),044,16:45,17:00,15,,182,4,0,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),045,17:00,17:15,14,,166,5,1,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),046,17:15,17:30,15,,153,5,2,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),047,17:30,17:45,16,,147,3,1,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),048,17:45,18:00,13,,134,6,0,1,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),049,18:00,18:15,9,,124,4,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),050,18:15,18:30,10,,110,2,1,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),051,18:30,18:45,12,,78,5,0,0,0
3,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Schönebecker Straße (N),052,18:45,19:00,11,,90,5,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),001,06:00,06:15,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),002,06:15,06:30,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),003,06:30,06:45,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),004,06:45,07:00,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),005,07:00,07:15,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),006,07:15,07:30,0,,4,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),007,07:30,07:45,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),008,07:45,08:00,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),009,08:00,08:15,0,,0,1,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),010,08:15,08:30,0,,2,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),011,08:30,08:45,0,,1,0,1,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),012,08:45,09:00,0,,0,1,0,1,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),013,09:00,09:15,0,,2,1,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),014,09:15,09:30,0,,3,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),015,09:30,09:45,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),016,09:45,10:00,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),017,10:00,10:15,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),018,10:15,10:30,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),019,10:30,10:45,0,,0,1,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),020,10:45,11:00,0,,3,1,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),021,11:00,11:15,0,,2,1,1,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),022,11:15,11:30,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),023,11:30,11:45,0,,3,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),024,11:45,12:00,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),025,12:00,12:15,0,,2,0,1,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),026,12:15,12:30,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),027,12:30,12:45,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),028,12:45,13:00,0,,2,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),029,13:00,13:15,0,,2,0,1,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),030,13:15,13:30,0,,1,1,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),031,13:30,13:45,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),032,13:45,14:00,0,,0,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),033,14:00,14:15,0,,1,0,0,0,0
4,B,1,1,BL...(6),Zählstrom,,Linksabbieger Schönebecker Straße (Nord),034,14:15,14:30,1,,0,0,0,0,0
