verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,001,06:00,06:15,1,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,002,06:15,06:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,003,06:30,06:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,004,06:45,07:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,005,07:00,07:15,0,,3,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,006,07:15,07:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,007,07:30,07:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,008,07:45,08:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,009,08:00,08:15,1,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,010,08:15,08:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,011,08:30,08:45,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,012,08:45,09:00,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,013,09:00,09:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,014,09:15,09:30,1,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,015,09:30,09:45,4,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,016,09:45,10:00,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,017,10:00,10:15,1,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,018,10:15,10:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,019,10:30,10:45,4,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,020,10:45,11:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,021,11:00,11:15,1,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,022,11:15,11:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,023,11:30,11:45,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,024,11:45,12:00,4,,0,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,025,12:00,12:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,026,12:15,12:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,027,12:30,12:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,028,12:45,13:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,029,13:00,13:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,030,13:15,13:30,0,,2,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,031,13:30,13:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,032,13:45,14:00,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,033,14:00,14:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,034,14:15,14:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,035,14:30,14:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,036,14:45,15:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,037,15:00,15:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,038,15:15,15:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,039,15:30,15:45,0,,4,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,040,15:45,16:00,0,,1,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,041,16:00,16:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,042,16:15,16:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,043,16:30,16:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,044,16:45,17:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,045,17:00,17:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,046,17:15,17:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,047,17:30,17:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,048,17:45,18:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,049,18:00,18:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,050,18:15,18:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,051,18:30,18:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Planckstraße,052,18:45,19:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,001,06:00,06:15,1,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,002,06:15,06:30,1,,1,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,003,06:30,06:45,6,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,004,06:45,07:00,2,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,005,07:00,07:15,7,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,006,07:15,07:30,5,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,007,07:30,07:45,6,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,008,07:45,08:00,3,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,009,08:00,08:15,3,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,010,08:15,08:30,4,,1,0,0,0,3
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,011,08:30,08:45,7,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,012,08:45,09:00,2,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,013,09:00,09:15,1,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,014,09:15,09:30,3,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,015,09:30,09:45,2,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Planckstraße,016,09:45,10:00,1,,1,0,0,0,0
