verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),001,06:00,06:15,0,,28,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),002,06:15,06:30,2,,44,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),003,06:30,06:45,0,,66,6,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),004,06:45,07:00,4,,58,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),005,07:00,07:15,7,,102,9,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),006,07:15,07:30,4,,83,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),007,07:30,07:45,3,,71,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),008,07:45,08:00,2,,75,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),009,08:00,08:15,1,,63,6,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),010,08:15,08:30,1,,68,7,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),011,08:30,08:45,1,,57,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),012,08:45,09:00,0,,52,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),013,09:00,09:15,0,,53,5,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),014,09:15,09:30,0,,52,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),015,09:30,09:45,1,,41,3,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),016,09:45,10:00,4,,48,6,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),017,10:00,10:15,1,,43,7,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),018,10:15,10:30,4,,54,7,0,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),019,10:30,10:45,1,,65,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),020,10:45,11:00,1,,50,3,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),021,11:00,11:15,1,,55,8,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),022,11:15,11:30,1,,49,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),023,11:30,11:45,0,,42,6,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),024,11:45,12:00,0,,43,0,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),025,12:00,12:15,4,,43,4,4,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),026,12:15,12:30,3,,49,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),027,12:30,12:45,2,,33,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),028,12:45,13:00,2,,40,5,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),029,13:00,13:15,4,,60,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),030,13:15,13:30,4,,59,6,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),031,13:30,13:45,1,,53,4,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),032,13:45,14:00,4,,37,2,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),033,14:00,14:15,2,,57,5,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),034,14:15,14:30,0,,56,6,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),035,14:30,14:45,4,,62,2,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),036,14:45,15:00,2,,78,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),037,15:00,15:15,4,,73,2,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),038,15:15,15:30,3,,84,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),039,15:30,15:45,0,,60,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),040,15:45,16:00,8,,89,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),041,16:00,16:15,2,,54,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),042,16:15,16:30,8,,90,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),043,16:30,16:45,3,,95,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),044,16:45,17:00,3,,83,2,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),045,17:00,17:15,3,,104,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),046,17:15,17:30,2,,70,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),047,17:30,17:45,3,,41,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),048,17:45,18:00,6,,57,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),049,18:00,18:15,5,,75,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),050,18:15,18:30,5,,71,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),051,18:30,18:45,1,,53,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Warschauer Straße (W),052,18:45,19:00,4,,58,4,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),001,06:00,06:15,2,,2,1,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),002,06:15,06:30,4,,6,0,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),003,06:30,06:45,2,,7,1,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),004,06:45,07:00,7,,3,2,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),005,07:00,07:15,3,,3,1,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),006,07:15,07:30,4,,5,1,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),007,07:30,07:45,6,,4,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),008,07:45,08:00,3,,11,0,1,0,3
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),009,08:00,08:15,6,,8,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),010,08:15,08:30,1,,5,1,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),011,08:30,08:45,5,,8,1,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),012,08:45,09:00,4,,7,1,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),013,09:00,09:15,6,,11,0,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),014,09:15,09:30,1,,5,0,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),015,09:30,09:45,4,,3,2,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),016,09:45,10:00,3,,6,2,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),017,10:00,10:15,4,,4,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),018,10:15,10:30,2,,8,0,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),019,10:30,10:45,4,,5,2,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),020,10:45,11:00,3,,6,0,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),021,11:00,11:15,3,,2,0,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),022,11:15,11:30,2,,4,1,0,0,2
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),023,11:30,11:45,2,,4,0,0,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Warschauer Straße(W),024,11:45,12:00,1,,3,0,0,0,2
