verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,001,06:00,06:15,0,,4,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,002,06:15,06:30,0,,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,003,06:30,06:45,1,,8,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,004,06:45,07:00,0,,6,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,005,07:00,07:15,1,,4,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,006,07:15,07:30,1,,8,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,007,07:30,07:45,0,,10,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,008,07:45,08:00,1,,9,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,009,08:00,08:15,2,,5,,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,010,08:15,08:30,1,,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,011,08:30,08:45,0,,2,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,012,08:45,09:00,0,,7,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,013,09:00,09:15,0,,6,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,014,09:15,09:30,0,,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,015,09:30,09:45,0,,5,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,016,09:45,10:00,0,,5,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,017,10:00,10:15,0,,1,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,018,10:15,10:30,0,,6,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,019,10:30,10:45,0,,2,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,020,10:45,11:00,3,,2,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,021,11:00,11:15,0,,4,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,022,11:15,11:30,0,,3,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,023,11:30,11:45,0,,5,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,024,11:45,12:00,0,,5,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,025,12:00,12:15,0,,3,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,026,12:15,12:30,1,,2,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,027,12:30,12:45,0,,7,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,028,12:45,13:00,0,,6,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,029,13:00,13:15,0,,10,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,030,13:15,13:30,2,,4,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,031,13:30,13:45,0,,5,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,032,13:45,14:00,0,,3,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,033,14:00,14:15,0,,2,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,034,14:15,14:30,1,,1,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,035,14:30,14:45,1,,4,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,036,14:45,15:00,0,,5,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,037,15:00,15:15,0,,7,,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,038,15:15,15:30,2,,4,,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,039,15:30,15:45,0,,3,,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,040,15:45,16:00,0,,0,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,041,16:00,16:15,2,,11,,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,042,16:15,16:30,2,,5,,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zum Langen Heinrich a.. R. Bierer Weg,043,16:30,16:45,0,,8,,2,1,0
