verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,001,06:00,06:15,7,,44,2,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,002,06:15,06:30,12,,86,5,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,003,06:30,06:45,13,,120,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,004,06:45,07:00,34,,119,9,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,005,07:00,07:15,15,,84,12,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,006,07:15,07:30,17,,111,10,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,007,07:30,07:45,24,,103,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,008,07:45,08:00,56,,104,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,009,08:00,08:15,10,,99,15,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,010,08:15,08:30,10,,95,9,5,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,011,08:30,08:45,7,,76,6,7,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,012,08:45,09:00,13,,93,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,013,09:00,09:15,5,,70,7,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,014,09:15,09:30,5,,67,5,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,015,09:30,09:45,10,,99,4,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,016,09:45,10:00,10,,90,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,017,10:00,10:15,5,,74,5,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,018,10:15,10:30,11,,88,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,019,10:30,10:45,11,,100,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,020,10:45,11:00,6,,71,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,021,11:00,11:15,13,,101,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,022,11:15,11:30,6,,95,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,023,11:30,11:45,9,,103,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,024,11:45,12:00,15,,98,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,025,12:00,12:15,17,,80,6,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,026,12:15,12:30,9,,88,3,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,027,12:30,12:45,15,,92,6,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,028,12:45,13:00,6,,84,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Anna-Ebert-Brücke,029,13:00,13:15,16,,114,6,5,0,1
