verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,001,06:00,06:15,0,,4,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,002,06:15,06:30,0,,6,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,003,06:30,06:45,2,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,004,06:45,07:00,4,,12,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,005,07:00,07:15,1,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,006,07:15,07:30,2,,13,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,007,07:30,07:45,1,,8,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,008,07:45,08:00,2,,7,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,009,08:00,08:15,0,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,010,08:15,08:30,1,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,011,08:30,08:45,1,,14,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,012,08:45,09:00,0,,9,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,013,09:00,09:15,0,,6,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,014,09:15,09:30,0,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Babelsberger Straße i. R. Seestraße,015,09:30,09:45,0,,4,10,3,0,0
