verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),001,06:00,06:15,0,,43,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),002,06:15,06:30,1,,35,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),003,06:30,06:45,5,,89,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),004,06:45,07:00,3,,73,11,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),005,07:00,07:15,2,,51,6,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),006,07:15,07:30,3,,82,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),007,07:30,07:45,2,,74,5,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),008,07:45,08:00,5,,77,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),009,08:00,08:15,4,,37,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),010,08:15,08:30,3,,35,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),011,08:30,08:45,5,,53,2,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),012,08:45,09:00,0,,79,7,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),013,09:00,09:15,1,,57,1,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),014,09:15,09:30,4,,70,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),015,09:30,09:45,3,,86,9,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),016,09:45,10:00,4,,67,5,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),017,10:00,10:15,2,,72,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),018,10:15,10:30,2,,79,3,5,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),019,10:30,10:45,4,,80,7,1,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),020,10:45,11:00,3,,81,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),021,11:00,11:15,1,,63,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),022,11:15,11:30,3,,65,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),023,11:30,11:45,3,,55,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),024,11:45,12:00,6,,78,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),025,12:00,12:15,1,,73,2,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),026,12:15,12:30,3,,70,8,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),027,12:30,12:45,7,,65,7,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),028,12:45,13:00,2,,44,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),029,13:00,13:15,5,,81,6,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),030,13:15,13:30,7,,79,5,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),031,13:30,13:45,0,,82,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),032,13:45,14:00,2,,65,7,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),033,14:00,14:15,1,,57,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),034,14:15,14:30,4,,74,7,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),035,14:30,14:45,3,,87,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),036,14:45,15:00,2,,72,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),037,15:00,15:15,11,,107,6,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),038,15:15,15:30,1,,88,9,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),039,15:30,15:45,3,,80,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),040,15:45,16:00,2,,87,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),041,16:00,16:15,5,,91,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),042,16:15,16:30,5,,116,3,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),043,16:30,16:45,11,,87,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),044,16:45,17:00,1,,81,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),045,17:00,17:15,2,,99,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),046,17:15,17:30,6,,92,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),047,17:30,17:45,3,,86,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),048,17:45,18:00,3,,80,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),049,18:00,18:15,5,,101,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),050,18:15,18:30,7,,65,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),051,18:30,18:45,5,,70,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahraer Brenneckestraße(W),052,18:45,19:00,2,,58,2,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brenneckestraße (W),001,06:00,06:15,0,,64,4,0,2,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brenneckestraße (W),002,06:15,06:30,0,,37,3,1,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brenneckestraße (W),003,06:30,06:45,0,,52,8,1,0,1
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brenneckestraße (W),004,06:45,07:00,0,,96,6,0,0,0
2,A,2,1,AL...(3),Zählstrom,,Linksabbieger Brenneckestraße (W),005,07:00,07:15,0,,69,8,0,0,0
