verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),001,06:00,06:15,0,,19,0,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),002,06:15,06:30,0,,20,2,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),003,06:30,06:45,0,,40,2,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),004,06:45,07:00,0,,39,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),005,07:00,07:15,1,,59,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),006,07:15,07:30,0,,63,0,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),007,07:30,07:45,1,,65,5,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),008,07:45,08:00,1,,45,0,0,1,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),009,08:00,08:15,1,,30,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),010,08:15,08:30,1,,39,2,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),011,08:30,08:45,0,,24,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),012,08:45,09:00,3,,21,3,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),013,09:00,09:15,0,,35,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),014,09:15,09:30,1,,28,1,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),015,09:30,09:45,1,,26,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),016,09:45,10:00,1,,30,0,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),017,10:00,10:15,1,,21,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),018,10:15,10:30,2,,22,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),019,10:30,10:45,1,,24,1,1,0,2
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),020,10:45,11:00,1,,21,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),021,11:00,11:15,1,,28,4,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),022,11:15,11:30,2,,19,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),023,11:30,11:45,1,,23,2,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),024,11:45,12:00,4,,23,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),025,12:00,12:15,1,,21,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),026,12:15,12:30,0,,26,1,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),027,12:30,12:45,0,,21,0,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),028,12:45,13:00,1,,18,0,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),029,13:00,13:15,3,,16,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),030,13:15,13:30,0,,17,3,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),031,13:30,13:45,2,,23,1,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),032,13:45,14:00,1,,21,2,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),033,14:00,14:15,1,,15,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),034,14:15,14:30,0,,27,3,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),035,14:30,14:45,1,,28,0,1,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),036,14:45,15:00,1,,19,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),037,15:00,15:15,2,,30,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),038,15:15,15:30,1,,68,3,1,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),039,15:30,15:45,0,,38,1,0,0,1
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),040,15:45,16:00,0,,29,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),041,16:00,16:15,2,,42,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Große Diesdorfer Straße i. R. Beimsplatz (W),042,16:15,16:30,0,,32,1,0,0,0
