verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),001,06:00,06:15,0,,0,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),002,06:15,06:30,0,,0,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),003,06:30,06:45,0,,2,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),004,06:45,07:00,0,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),005,07:00,07:15,0,,1,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),006,07:15,07:30,0,,1,0,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),007,07:30,07:45,0,,1,0,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),008,07:45,08:00,0,,0,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),009,08:00,08:15,0,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),010,08:15,08:30,0,,1,0,2,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),011,08:30,08:45,0,,1,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),012,08:45,09:00,0,,3,1,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),013,09:00,09:15,0,,1,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),014,09:15,09:30,0,,0,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),015,09:30,09:45,0,,1,1,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),016,09:45,10:00,0,,0,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),017,10:00,10:15,0,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),018,10:15,10:30,0,,2,0,0,1,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),019,10:30,10:45,0,,0,0,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),020,10:45,11:00,0,,1,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),021,11:00,11:15,0,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),022,11:15,11:30,0,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),023,11:30,11:45,0,,3,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),024,11:45,12:00,1,,4,1,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),025,12:00,12:15,0,,3,1,1,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),026,12:15,12:30,0,,1,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),027,12:30,12:45,1,,3,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),028,12:45,13:00,0,,1,0,0,0,0
1,1,1,1,AR...(1),Zählstrom,,Rechtabbieger Herrenkrugstraße (Pumpstation),029,13:00,13:15,0,,0,1,0,0,0
