verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,001,06:00,06:15,0,,29,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,002,06:15,06:30,0,,42,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,003,06:30,06:45,0,,62,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,004,06:45,07:00,0,,53,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,005,07:00,07:15,0,,77,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,006,07:15,07:30,1,,94,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,007,07:30,07:45,0,,119,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,008,07:45,08:00,0,,86,3,1,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,009,08:00,08:15,0,,52,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,010,08:15,08:30,1,,52,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,011,08:30,08:45,0,,62,2,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,012,08:45,09:00,0,,61,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,013,09:00,09:15,0,,55,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,014,09:15,09:30,0,,37,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,015,09:30,09:45,5,,67,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,016,09:45,10:00,0,,78,10,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,017,10:00,10:15,0,,56,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,018,10:15,10:30,0,,40,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,019,10:30,10:45,0,,56,7,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,020,10:45,11:00,0,,55,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,021,11:00,11:15,2,,57,8,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,022,11:15,11:30,0,,47,8,5,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,023,11:30,11:45,2,,55,7,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,024,11:45,12:00,2,,43,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,025,12:00,12:15,1,,57,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,026,12:15,12:30,0,,46,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,027,12:30,12:45,1,,61,12,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,028,12:45,13:00,0,,56,5,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,029,13:00,13:15,0,,65,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,030,13:15,13:30,0,,76,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,031,13:30,13:45,0,,71,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,032,13:45,14:00,0,,59,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,033,14:00,14:15,1,,73,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,034,14:15,14:30,0,,74,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,035,14:30,14:45,2,,82,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,036,14:45,15:00,0,,79,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,037,15:00,15:15,0,,81,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,038,15:15,15:30,2,,119,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,039,15:30,15:45,0,,114,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,040,15:45,16:00,0,,86,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,041,16:00,16:15,0,,134,8,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,042,16:15,16:30,1,,123,3,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,043,16:30,16:45,1,,109,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,044,16:45,17:00,1,,95,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,045,17:00,17:15,1,,120,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,046,17:15,17:30,3,,75,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,047,17:30,17:45,2,,82,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,048,17:45,18:00,0,,67,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,049,18:00,18:15,1,,72,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,050,18:15,18:30,0,,68,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,051,18:30,18:45,3,,49,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Wittenberger Straße,052,18:45,19:00,0,,57,2,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,001,06:00,06:15,2,,2,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,002,06:15,06:30,1,,1,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,003,06:30,06:45,1,,0,1,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,004,06:45,07:00,3,,5,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,005,07:00,07:15,4,,3,0,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,006,07:15,07:30,5,,8,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,007,07:30,07:45,5,,9,0,1,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,008,07:45,08:00,4,,10,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,009,08:00,08:15,4,,10,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,010,08:15,08:30,1,,6,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,011,08:30,08:45,3,,9,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,012,08:45,09:00,5,,2,0,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,013,09:00,09:15,2,,5,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,014,09:15,09:30,2,,8,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,015,09:30,09:45,3,,2,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,016,09:45,10:00,1,,6,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,017,10:00,10:15,1,,3,0,1,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,018,10:15,10:30,0,,3,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,019,10:30,10:45,3,,4,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,020,10:45,11:00,3,,5,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,021,11:00,11:15,0,,5,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,022,11:15,11:30,0,,2,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,023,11:30,11:45,4,,5,0,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,024,11:45,12:00,4,,4,2,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,025,12:00,12:15,0,,7,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,026,12:15,12:30,2,,5,1,0,1,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,027,12:30,12:45,3,,1,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,028,12:45,13:00,0,,7,3,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,029,13:00,13:15,3,,6,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,030,13:15,13:30,2,,5,0,3,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,031,13:30,13:45,0,,2,1,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,032,13:45,14:00,0,,1,2,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,033,14:00,14:15,1,,3,0,1,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,034,14:15,14:30,0,,3,1,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,035,14:30,14:45,3,,4,0,0,0,0
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,036,14:45,15:00,5,,6,0,0,0,1
2,A,2,1,AG...(2),Zählstrom,,Geradeausfahrer Wittenberger Straße,037,15:00,15:15,1,,3,1,1,0,0
