verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,001,06:00,06:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,002,06:15,06:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,003,06:30,06:45,2,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,004,06:45,07:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,005,07:00,07:15,2,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,006,07:15,07:30,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,007,07:30,07:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,008,07:45,08:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,009,08:00,08:15,0,,4,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,010,08:15,08:30,1,,2,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,011,08:30,08:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,012,08:45,09:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,013,09:00,09:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,014,09:15,09:30,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,015,09:30,09:45,0,,1,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,016,09:45,10:00,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,017,10:00,10:15,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,018,10:15,10:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,019,10:30,10:45,2,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,020,10:45,11:00,0,,0,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,021,11:00,11:15,1,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,022,11:15,11:30,0,,1,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,023,11:30,11:45,2,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,024,11:45,12:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,025,12:00,12:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,026,12:15,12:30,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,027,12:30,12:45,1,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,028,12:45,13:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,029,13:00,13:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,030,13:15,13:30,1,,5,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,031,13:30,13:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,032,13:45,14:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,033,14:00,14:15,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,034,14:15,14:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,035,14:30,14:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,036,14:45,15:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,037,15:00,15:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,038,15:15,15:30,0,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,039,15:30,15:45,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,040,15:45,16:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,041,16:00,16:15,0,,7,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,042,16:15,16:30,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,043,16:30,16:45,2,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,044,16:45,17:00,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,045,17:00,17:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Fuchsberg,046,17:15,17:30,0,,5,0,0,0,0
