verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),002,06:15,06:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),003,06:30,06:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),004,06:45,07:00,0,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),005,07:00,07:15,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),006,07:15,07:30,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),007,07:30,07:45,0,,30,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),008,07:45,08:00,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),009,08:00,08:15,1,,27,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),010,08:15,08:30,2,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),011,08:30,08:45,0,,18,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),012,08:45,09:00,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),013,09:00,09:15,0,,9,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),014,09:15,09:30,2,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),015,09:30,09:45,6,,10,7,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Hellestraße (W),016,09:45,10:00,5,,18,4,1,0,0
