verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,001,06:00,06:15,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,002,06:15,06:30,1,,22,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,003,06:30,06:45,5,,24,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,004,06:45,07:00,1,,23,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,005,07:00,07:15,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,006,07:15,07:30,1,,18,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,007,07:30,07:45,0,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,008,07:45,08:00,1,,27,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,009,08:00,08:15,0,,20,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,010,08:15,08:30,0,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,011,08:30,08:45,0,,26,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,012,08:45,09:00,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,013,09:00,09:15,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,014,09:15,09:30,2,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,015,09:30,09:45,0,,11,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,016,09:45,10:00,0,,16,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,017,10:00,10:15,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,018,10:15,10:30,0,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger  Salzmannstraße,019,10:30,10:45,1,,16,3,0,1,0
