verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),001,06:00,06:15,3,,33,3,0,0,2
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),002,06:15,06:30,2,,41,1,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),003,06:30,06:45,8,,82,7,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),004,06:45,07:00,14,,87,7,2,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),005,07:00,07:15,13,,104,6,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),006,07:15,07:30,19,,109,7,0,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),007,07:30,07:45,13,,106,6,2,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),008,07:45,08:00,18,,93,2,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),009,08:00,08:15,9,,56,3,4,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),010,08:15,08:30,9,,61,4,1,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),011,08:30,08:45,6,,63,3,0,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),012,08:45,09:00,5,,50,7,1,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),013,09:00,09:15,5,,57,1,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),014,09:15,09:30,6,,76,2,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),015,09:30,09:45,12,,56,8,3,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),016,09:45,10:00,8,,62,5,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),017,10:00,10:15,8,,56,2,5,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),018,10:15,10:30,3,,41,8,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),019,10:30,10:45,4,,50,7,2,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),020,10:45,11:00,9,,47,7,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),021,11:00,11:15,4,,59,7,1,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),022,11:15,11:30,5,,44,6,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),023,11:30,11:45,7,,39,5,2,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),024,11:45,12:00,7,,58,5,1,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),025,12:00,12:15,5,,55,3,2,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),026,12:15,12:30,10,,61,8,0,1,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),027,12:30,12:45,7,,43,2,0,1,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),028,12:45,13:00,3,,41,1,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),029,13:00,13:15,2,,78,6,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),030,13:15,13:30,9,,65,5,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),031,13:30,13:45,3,,47,1,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),032,13:45,14:00,5,,70,2,2,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),033,14:00,14:15,3,,49,6,1,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),034,14:15,14:30,7,,63,1,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),035,14:30,14:45,1,,62,4,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),036,14:45,15:00,7,,57,5,3,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),037,15:00,15:15,5,,71,2,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),038,15:15,15:30,6,,60,2,0,0,1
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),039,15:30,15:45,4,,66,2,0,0,0
3,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Lemdorfer Weg (W),040,15:45,16:00,6,,54,5,1,0,0
