verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,001,06:00,06:15,0,,3,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,002,06:15,06:30,1,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,003,06:30,06:45,0,,0,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,004,06:45,07:00,0,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,005,07:00,07:15,0,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,006,07:15,07:30,1,,3,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,007,07:30,07:45,0,,2,1,1,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,008,07:45,08:00,0,,0,0,1,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,009,08:00,08:15,3,,2,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,010,08:15,08:30,0,,0,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,011,08:30,08:45,3,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,012,08:45,09:00,0,,1,3,1,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,013,09:00,09:15,2,,3,2,1,1,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,014,09:15,09:30,0,,1,3,1,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,015,09:30,09:45,4,,3,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,016,09:45,10:00,4,,2,2,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,017,10:00,10:15,4,,1,2,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,018,10:15,10:30,0,,3,1,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,019,10:30,10:45,1,,2,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,020,10:45,11:00,1,,7,1,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,021,11:00,11:15,3,,2,2,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,022,11:15,11:30,0,,3,0,0,1,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,023,11:30,11:45,1,,2,2,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,024,11:45,12:00,3,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,025,12:00,12:15,0,,6,1,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,026,12:15,12:30,2,,3,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,027,12:30,12:45,0,,2,1,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,028,12:45,13:00,3,,1,0,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,029,13:00,13:15,1,,0,1,0,1,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer An den Rennwiesen i. R. Biederitzer Busch,030,13:15,13:30,2,,4,0,0,0,0
