verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,001,06:00,06:15,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,002,06:15,06:30,2,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,003,06:30,06:45,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,004,06:45,07:00,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,005,07:00,07:15,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,006,07:15,07:30,1,,2,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,007,07:30,07:45,3,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,008,07:45,08:00,3,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,009,08:00,08:15,0,,3,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,010,08:15,08:30,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,011,08:30,08:45,0,,1,1,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,012,08:45,09:00,2,,4,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,013,09:00,09:15,0,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,014,09:15,09:30,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,015,09:30,09:45,2,,4,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,016,09:45,10:00,0,,3,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,017,10:00,10:15,1,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,018,10:15,10:30,1,,3,1,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,019,10:30,10:45,0,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,020,10:45,11:00,1,,2,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,021,11:00,11:15,0,,1,0,1,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,022,11:15,11:30,0,,0,0,0,1,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,023,11:30,11:45,1,,4,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,024,11:45,12:00,0,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,025,12:00,12:15,1,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,026,12:15,12:30,0,,2,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,027,12:30,12:45,0,,0,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,028,12:45,13:00,1,,1,0,0,0,0
1,D,0,0,DR..(11),summierter Strom,3+7,DR1 + DR2,029,13:00,13:15,0,,1,0,0,0,0
