verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),001,06:00,06:15,0,,37,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),002,06:15,06:30,1,,56,3,0,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),003,06:30,06:45,1,,73,5,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),004,06:45,07:00,4,,72,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),005,07:00,07:15,0,,80,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),006,07:15,07:30,1,,98,6,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),007,07:30,07:45,1,,76,8,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),008,07:45,08:00,0,,81,2,3,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),009,08:00,08:15,0,,68,5,3,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),010,08:15,08:30,0,,48,3,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),011,08:30,08:45,0,,45,7,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),012,08:45,09:00,2,,70,6,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),013,09:00,09:15,0,,55,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),014,09:15,09:30,0,,67,1,3,2,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),015,09:30,09:45,0,,58,7,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),016,09:45,10:00,1,,68,5,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),017,10:00,10:15,0,,52,8,3,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),018,10:15,10:30,1,,66,7,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),019,10:30,10:45,0,,58,7,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),020,10:45,11:00,1,,63,3,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Schanzenweg (W),021,11:00,11:15,1,,66,6,3,0,1
