verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),001,06:00,06:15,0,,36,3,0,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),002,06:15,06:30,3,,60,0,1,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),003,06:30,06:45,1,,70,4,1,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),004,06:45,07:00,6,,52,6,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),005,07:00,07:15,8,,70,5,4,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),006,07:15,07:30,13,,74,7,3,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),007,07:30,07:45,8,,50,9,6,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),008,07:45,08:00,9,,69,5,5,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),009,08:00,08:15,8,,67,6,10,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),010,08:15,08:30,8,,40,2,6,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),011,08:30,08:45,6,,43,9,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),012,08:45,09:00,1,,50,8,2,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),013,09:00,09:15,1,,81,16,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),014,09:15,09:30,1,,37,10,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),015,09:30,09:45,3,,55,6,6,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),016,09:45,10:00,2,,55,13,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),017,10:00,10:15,2,,51,11,3,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),018,10:15,10:30,1,,66,8,6,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),019,10:30,10:45,5,,65,13,5,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),020,10:45,11:00,3,,74,10,0,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),021,11:00,11:15,5,,65,10,3,3,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),022,11:15,11:30,2,,68,8,6,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),023,11:30,11:45,6,,59,8,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),024,11:45,12:00,2,,50,6,4,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),025,12:00,12:15,7,,62,7,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),026,12:15,12:30,6,,68,5,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),027,12:30,12:45,4,,71,9,5,4,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),028,12:45,13:00,5,,61,8,2,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),029,13:00,13:15,6,,65,6,7,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),030,13:15,13:30,6,,83,16,2,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),031,13:30,13:45,5,,79,4,2,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),032,13:45,14:00,3,,81,6,3,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),033,14:00,14:15,8,,77,6,7,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),034,14:15,14:30,5,,88,4,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),035,14:30,14:45,9,,106,2,0,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),036,14:45,15:00,14,,97,6,3,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),037,15:00,15:15,5,,116,6,4,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),038,15:15,15:30,18,,120,8,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),039,15:30,15:45,13,,112,7,1,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),040,15:45,16:00,11,,126,7,0,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),041,16:00,16:15,6,,116,11,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),042,16:15,16:30,7,,126,19,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),043,16:30,16:45,13,,120,10,0,2,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),044,16:45,17:00,6,,135,7,2,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),045,17:00,17:15,6,,103,8,1,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),046,17:15,17:30,13,,108,11,0,1,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),047,17:30,17:45,9,,102,4,0,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),048,17:45,18:00,10,,94,4,2,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),049,18:00,18:15,8,,86,4,0,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),050,18:15,18:30,9,,111,4,0,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),051,18:30,18:45,6,,96,4,1,0,0
1,B,1,2,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),052,18:45,19:00,9,,87,5,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),001,06:00,06:15,0,,7,1,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),002,06:15,06:30,0,,5,1,0,1,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),003,06:30,06:45,0,,10,0,1,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),004,06:45,07:00,0,,9,0,1,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),005,07:00,07:15,0,,26,2,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),006,07:15,07:30,0,,21,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),007,07:30,07:45,1,,15,1,1,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),008,07:45,08:00,0,,22,2,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),009,08:00,08:15,0,,18,3,0,1,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),010,08:15,08:30,0,,10,1,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),011,08:30,08:45,0,,9,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),012,08:45,09:00,0,,9,2,0,1,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),013,09:00,09:15,0,,10,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer2 Schönebecker Straße (NW),014,09:15,09:30,0,,8,0,0,0,0
