verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),001,06:00,06:15,0,,43,6,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),002,06:15,06:30,3,,60,2,0,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),003,06:30,06:45,2,,68,3,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),004,06:45,07:00,4,,57,5,1,0,2
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),005,07:00,07:15,4,,67,6,3,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),006,07:15,07:30,2,,99,7,3,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),007,07:30,07:45,2,,73,8,5,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),008,07:45,08:00,3,,60,8,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),009,08:00,08:15,0,,14,3,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),010,08:15,08:30,2,,48,9,4,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),011,08:30,08:45,1,,56,11,5,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),012,08:45,09:00,1,,51,14,2,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),013,09:00,09:15,2,,67,11,1,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),014,09:15,09:30,1,,61,10,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),015,09:30,09:45,4,,60,17,6,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),016,09:45,10:00,1,,60,6,5,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),017,10:00,10:15,2,,61,10,4,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),018,10:15,10:30,3,,55,8,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),019,10:30,10:45,0,,67,11,3,2,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),020,10:45,11:00,6,,66,12,3,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),021,11:00,11:15,7,,70,12,2,2,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),022,11:15,11:30,3,,49,17,7,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),023,11:30,11:45,4,,76,14,3,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),024,11:45,12:00,2,,2,57,8,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),025,12:00,12:15,1,,71,11,2,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),026,12:15,12:30,4,,73,10,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),027,12:30,12:45,2,,70,8,5,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),028,12:45,13:00,1,,62,5,1,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),029,13:00,13:15,4,,119,11,2,0,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),030,13:15,13:30,3,,77,11,2,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),031,13:30,13:45,4,,98,8,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),032,13:45,14:00,2,,63,7,3,1,2
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),033,14:00,14:15,3,,73,19,3,3,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (NW),034,14:15,14:30,2,,101,4,1,0,0
