verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),001,06:00,06:15,1,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),002,06:15,06:30,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),003,06:30,06:45,0,,3,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),004,06:45,07:00,1,,2,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),005,07:00,07:15,0,,2,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),006,07:15,07:30,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),007,07:30,07:45,0,,3,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),008,07:45,08:00,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),009,08:00,08:15,0,,8,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),010,08:15,08:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),011,08:30,08:45,0,,4,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),012,08:45,09:00,0,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),013,09:00,09:15,0,,6,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),014,09:15,09:30,0,,5,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),015,09:30,09:45,0,,2,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),016,09:45,10:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),017,10:00,10:15,1,,7,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),018,10:15,10:30,0,,11,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),019,10:30,10:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),020,10:45,11:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),021,11:00,11:15,0,,4,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),022,11:15,11:30,0,,9,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),023,11:30,11:45,0,,3,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),024,11:45,12:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),025,12:00,12:15,0,,6,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),026,12:15,12:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),027,12:30,12:45,0,,4,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),028,12:45,13:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),029,13:00,13:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),030,13:15,13:30,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),031,13:30,13:45,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),032,13:45,14:00,0,,1,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),033,14:00,14:15,0,,2,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),034,14:15,14:30,0,,1,0,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),035,14:30,14:45,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),036,14:45,15:00,0,,15,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),037,15:00,15:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),038,15:15,15:30,0,,2,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),039,15:30,15:45,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Schönebecker Straße (W),040,15:45,16:00,0,,9,1,1,0,0
