verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,001,06:00,06:15,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,002,06:15,06:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,003,06:30,06:45,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,004,06:45,07:00,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,005,07:00,07:15,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,006,07:15,07:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,007,07:30,07:45,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,008,07:45,08:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,009,08:00,08:15,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,010,08:15,08:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,011,08:30,08:45,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,012,08:45,09:00,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,013,09:00,09:15,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,014,09:15,09:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,015,09:30,09:45,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,016,09:45,10:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,017,10:00,10:15,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,018,10:15,10:30,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,019,10:30,10:45,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,020,10:45,11:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,021,11:00,11:15,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,022,11:15,11:30,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,023,11:30,11:45,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,024,11:45,12:00,3,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,025,12:00,12:15,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,026,12:15,12:30,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,027,12:30,12:45,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,028,12:45,13:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,029,13:00,13:15,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,030,13:15,13:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,031,13:30,13:45,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,032,13:45,14:00,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,033,14:00,14:15,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,034,14:15,14:30,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,035,14:30,14:45,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,036,14:45,15:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,037,15:00,15:15,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,038,15:15,15:30,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,039,15:30,15:45,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,040,15:45,16:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,041,16:00,16:15,8,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,042,16:15,16:30,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,043,16:30,16:45,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,044,16:45,17:00,0,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,045,17:00,17:15,3,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,046,17:15,17:30,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,047,17:30,17:45,3,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,048,17:45,18:00,1,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,049,18:00,18:15,5,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,050,18:15,18:30,2,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,051,18:30,18:45,7,0,0,,0,,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsbbieger Sternbrücke a. R.Steubenallee,052,18:45,19:00,4,0,0,,0,,0
2,A,1,2,AG...(2),Zählstrom,,geradeaus - Sternabrücke a. R. Steubenallee,001,06:00,06:15,3,0,0,,0,,0
