verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),001,06:00,06:15,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),002,06:15,06:30,1,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),003,06:30,06:45,0,,13,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),004,06:45,07:00,0,,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),005,07:00,07:15,0,,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),006,07:15,07:30,5,,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),007,07:30,07:45,3,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),008,07:45,08:00,1,,16,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),009,08:00,08:15,2,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),010,08:15,08:30,2,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),011,08:30,08:45,1,,12,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),012,08:45,09:00,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),013,09:00,09:15,2,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),014,09:15,09:30,2,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),015,09:30,09:45,3,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),016,09:45,10:00,1,,11,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),017,10:00,10:15,0,,5,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),018,10:15,10:30,1,,12,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),019,10:30,10:45,0,,13,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),020,10:45,11:00,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),021,11:00,11:15,1,,9,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),022,11:15,11:30,1,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),023,11:30,11:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),024,11:45,12:00,2,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),025,12:00,12:15,1,,9,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),026,12:15,12:30,1,,9,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Spielhagenstraße(W),027,12:30,12:45,1,,11,0,1,0,0
