verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),002,06:15,06:30,0,,4,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),003,06:30,06:45,1,,6,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),004,06:45,07:00,1,,7,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),005,07:00,07:15,0,,10,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),006,07:15,07:30,3,,17,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),007,07:30,07:45,9,,23,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),008,07:45,08:00,8,,21,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),009,08:00,08:15,5,,7,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),010,08:15,08:30,4,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),011,08:30,08:45,1,,5,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),012,08:45,09:00,5,,13,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),013,09:00,09:15,3,,10,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),014,09:15,09:30,1,,6,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),015,09:30,09:45,1,,12,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),016,09:45,10:00,0,,11,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),017,10:00,10:15,3,,15,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),018,10:15,10:30,1,,19,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),019,10:30,10:45,0,,10,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),020,10:45,11:00,0,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),021,11:00,11:15,0,,14,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),022,11:15,11:30,2,,15,0,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),023,11:30,11:45,1,,14,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),024,11:45,12:00,1,,16,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),025,12:00,12:15,1,,15,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),026,12:15,12:30,0,,9,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),027,12:30,12:45,1,,11,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),028,12:45,13:00,0,,9,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),029,13:00,13:15,3,,11,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),030,13:15,13:30,3,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),031,13:30,13:45,0,,9,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),032,13:45,14:00,4,,13,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),033,14:00,14:15,1,,10,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),034,14:15,14:30,1,,17,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),035,14:30,14:45,0,,22,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),036,14:45,15:00,10,,24,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),037,15:00,15:15,3,,18,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),038,15:15,15:30,2,,16,0,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),039,15:30,15:45,1,,22,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),040,15:45,16:00,1,,15,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),041,16:00,16:15,2,,45,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),042,16:15,16:30,2,,28,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),043,16:30,16:45,4,,21,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),044,16:45,17:00,7,,17,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),045,17:00,17:15,1,,23,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),046,17:15,17:30,2,,14,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),047,17:30,17:45,1,,17,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),048,17:45,18:00,2,,20,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),049,18:00,18:15,5,,15,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),050,18:15,18:30,1,,18,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),051,18:30,18:45,0,,14,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Danzstraße (NW),052,18:45,19:00,0,,9,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Danzstraße (NW),001,06:00,06:15,0,,4,0,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Danzstraße (NW),002,06:15,06:30,0,,8,1,0,0,0
2,A,1,2,AL...(3),Zählstrom,,Linksabbieger Danzstraße (NW),003,06:30,06:45,0,,3,0,0,0,0
