verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,001,06:00,06:15,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,002,06:15,06:30,0,,20,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,003,06:30,06:45,1,,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,004,06:45,07:00,0,,24,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,005,07:00,07:15,0,,17,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,006,07:15,07:30,2,,36,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,007,07:30,07:45,2,,28,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,008,07:45,08:00,4,,30,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,009,08:00,08:15,1,,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,010,08:15,08:30,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,011,08:30,08:45,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,012,08:45,09:00,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,013,09:00,09:15,0,,13,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,014,09:15,09:30,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,015,09:30,09:45,0,,11,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,016,09:45,10:00,0,,14,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,017,10:00,10:15,2,,19,1,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,018,10:15,10:30,1,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,019,10:30,10:45,0,,11,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,020,10:45,11:00,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,021,11:00,11:15,2,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,022,11:15,11:30,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,023,11:30,11:45,1,,10,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,024,11:45,12:00,0,,11,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,025,12:00,12:15,0,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,026,12:15,12:30,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,027,12:30,12:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,028,12:45,13:00,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,029,13:00,13:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,030,13:15,13:30,1,,5,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,031,13:30,13:45,0,,6,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,032,13:45,14:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,033,14:00,14:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,034,14:15,14:30,0,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,035,14:30,14:45,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,036,14:45,15:00,1,,12,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,037,15:00,15:15,0,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,038,15:15,15:30,0,,11,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,039,15:30,15:45,0,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,040,15:45,16:00,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,041,16:00,16:15,0,,16,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,042,16:15,16:30,0,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,043,16:30,16:45,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,044,16:45,17:00,0,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,045,17:00,17:15,0,,21,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,046,17:15,17:30,0,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,047,17:30,17:45,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,048,17:45,18:00,0,,10,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,049,18:00,18:15,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,050,18:15,18:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,051,18:30,18:45,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Raiffeisenstraße,052,18:45,19:00,0,,7,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,001,06:00,06:15,3,,25,5,0,1,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,002,06:15,06:30,2,,34,1,0,0,1
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,003,06:30,06:45,5,,41,9,3,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,004,06:45,07:00,6,,60,3,2,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,005,07:00,07:15,5,,49,3,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,006,07:15,07:30,8,,50,4,1,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,007,07:30,07:45,5,,52,9,0,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,008,07:45,08:00,2,,42,2,3,1,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,009,08:00,08:15,2,,38,2,3,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,010,08:15,08:30,3,,39,3,3,0,2
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,011,08:30,08:45,7,,49,4,1,0,3
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Raiffeisenstraße,012,08:45,09:00,5,,36,1,2,0,1
