verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,001,06:00,06:15,0,,16,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,002,06:15,06:30,3,,29,1,2,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,003,06:30,06:45,1,,43,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,004,06:45,07:00,2,,38,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,005,07:00,07:15,1,,24,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,006,07:15,07:30,1,,31,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,007,07:30,07:45,0,,28,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,008,07:45,08:00,0,,27,5,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,009,08:00,08:15,0,,31,1,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,010,08:15,08:30,0,,30,3,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,011,08:30,08:45,0,,26,5,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,012,08:45,09:00,1,,28,3,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,013,09:00,09:15,0,,8,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,014,09:15,09:30,0,,24,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,015,09:30,09:45,2,,52,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,016,09:45,10:00,0,,40,6,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,017,10:00,10:15,0,,38,7,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,018,10:15,10:30,2,,37,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,019,10:30,10:45,2,,51,3,0,1,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,020,10:45,11:00,0,,43,5,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,021,11:00,11:15,1,,53,5,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,022,11:15,11:30,2,,36,4,1,2,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,023,11:30,11:45,0,,45,7,1,4,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,024,11:45,12:00,0,,56,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,025,12:00,12:15,1,,40,5,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,026,12:15,12:30,0,,36,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,027,12:30,12:45,1,,33,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,028,12:45,13:00,0,,38,6,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,029,13:00,13:15,0,,41,1,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,030,13:15,13:30,3,,39,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,031,13:30,13:45,1,,35,2,3,3,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,032,13:45,14:00,2,,36,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,033,14:00,14:15,0,,28,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,034,14:15,14:30,0,,45,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,035,14:30,14:45,1,,46,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,036,14:45,15:00,0,,56,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,037,15:00,15:15,0,,41,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,038,15:15,15:30,0,,65,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,039,15:30,15:45,1,,58,0,1,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,040,15:45,16:00,2,,50,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,041,16:00,16:15,3,,74,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,042,16:15,16:30,0,,67,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,043,16:30,16:45,1,,56,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,044,16:45,17:00,4,,91,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,045,17:00,17:15,2,,81,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,046,17:15,17:30,2,,59,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,047,17:30,17:45,1,,70,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,048,17:45,18:00,0,,63,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,049,18:00,18:15,0,,52,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,050,18:15,18:30,2,,61,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,051,18:30,18:45,1,,54,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Genthiner Straße,052,18:45,19:00,1,,60,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,001,06:00,06:15,1,,14,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,002,06:15,06:30,2,,16,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,003,06:30,06:45,2,,34,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,004,06:45,07:00,1,,32,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,005,07:00,07:15,4,,31,3,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,006,07:15,07:30,2,,29,1,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,007,07:30,07:45,1,,25,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,008,07:45,08:00,2,,13,5,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,009,08:00,08:15,1,,16,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,010,08:15,08:30,1,,21,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,011,08:30,08:45,1,,15,0,3,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,012,08:45,09:00,2,,16,1,3,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,013,09:00,09:15,0,,14,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,014,09:15,09:30,0,,13,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,015,09:30,09:45,1,,27,2,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,016,09:45,10:00,0,,19,0,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,017,10:00,10:15,1,,27,4,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,018,10:15,10:30,0,,14,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,019,10:30,10:45,2,,19,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,020,10:45,11:00,1,,14,3,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,021,11:00,11:15,0,,25,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,022,11:15,11:30,1,,21,2,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,023,11:30,11:45,2,,12,1,2,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,024,11:45,12:00,0,,13,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,025,12:00,12:15,2,,19,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,026,12:15,12:30,1,,12,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,027,12:30,12:45,1,,20,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,028,12:45,13:00,3,,16,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,029,13:00,13:15,1,,16,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,030,13:15,13:30,3,,27,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,031,13:30,13:45,0,,8,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,032,13:45,14:00,0,,17,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,033,14:00,14:15,0,,17,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,034,14:15,14:30,2,,18,5,0,1,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,035,14:30,14:45,0,,12,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,036,14:45,15:00,0,,28,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,037,15:00,15:15,0,,26,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,038,15:15,15:30,0,,29,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,039,15:30,15:45,0,,20,0,1,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,040,15:45,16:00,0,,15,2,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,041,16:00,16:15,3,,28,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,042,16:15,16:30,2,,25,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,043,16:30,16:45,0,,27,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,044,16:45,17:00,1,,28,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,045,17:00,17:15,1,,22,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,046,17:15,17:30,0,,16,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,047,17:30,17:45,1,,19,3,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,048,17:45,18:00,1,,16,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,049,18:00,18:15,3,,15,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,050,18:15,18:30,1,,18,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,051,18:30,18:45,2,,20,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Genthiner Straße,052,18:45,19:00,3,,17,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,001,06:00,06:15,0,,2,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,002,06:15,06:30,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,003,06:30,06:45,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,004,06:45,07:00,0,,1,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,005,07:00,07:15,0,,2,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,006,07:15,07:30,0,,2,0,1,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,007,07:30,07:45,0,,6,1,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,008,07:45,08:00,0,,0,0,0,1,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Genthiner Straße,009,08:00,08:15,0,,1,0,0,0,0
