verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,001,06:00,06:15,0,,7,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,002,06:15,06:30,0,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,003,06:30,06:45,2,,12,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,004,06:45,07:00,1,,16,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,005,07:00,07:15,0,,15,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,006,07:15,07:30,4,,33,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,007,07:30,07:45,1,,45,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,008,07:45,08:00,0,,18,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,009,08:00,08:15,0,,22,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,010,08:15,08:30,0,,9,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,011,08:30,08:45,1,,11,1,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,012,08:45,09:00,0,,17,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,013,09:00,09:15,1,,28,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,014,09:15,09:30,0,,18,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,015,09:30,09:45,8,,30,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,016,09:45,10:00,0,,30,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,017,10:00,10:15,2,,31,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,018,10:15,10:30,2,,21,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,019,10:30,10:45,3,,16,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,020,10:45,11:00,2,,28,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,021,11:00,11:15,3,,37,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,022,11:15,11:30,5,,30,5,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,023,11:30,11:45,2,,24,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,024,11:45,12:00,3,,19,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,025,12:00,12:15,2,,14,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,026,12:15,12:30,2,,30,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,027,12:30,12:45,0,,26,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,028,12:45,13:00,0,,20,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,029,13:00,13:15,2,,33,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,030,13:15,13:30,1,,34,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,031,13:30,13:45,0,,29,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,032,13:45,14:00,2,,22,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,033,14:00,14:15,0,,28,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,034,14:15,14:30,1,,39,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,035,14:30,14:45,0,,31,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,036,14:45,15:00,1,,23,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,037,15:00,15:15,2,,32,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,038,15:15,15:30,1,,21,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,039,15:30,15:45,4,,38,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,040,15:45,16:00,2,,27,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,041,16:00,16:15,4,,58,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,042,16:15,16:30,3,,55,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,043,16:30,16:45,1,,40,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Hopfenbreite a.R. Schilfbreite,044,16:45,17:00,2,,41,2,0,0,0
