verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),001,06:00,06:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),002,06:15,06:30,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),003,06:30,06:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),004,06:45,07:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),005,07:00,07:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),006,07:15,07:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),007,07:30,07:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),008,07:45,08:00,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),009,08:00,08:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),010,08:15,08:30,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),011,08:30,08:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),012,08:45,09:00,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),013,09:00,09:15,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),014,09:15,09:30,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),015,09:30,09:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),016,09:45,10:00,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),017,10:00,10:15,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),018,10:15,10:30,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),019,10:30,10:45,4,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),020,10:45,11:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),021,11:00,11:15,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),022,11:15,11:30,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),023,11:30,11:45,2,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),024,11:45,12:00,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),025,12:00,12:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),026,12:15,12:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),027,12:30,12:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),028,12:45,13:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),029,13:00,13:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),030,13:15,13:30,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),031,13:30,13:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),032,13:45,14:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),033,14:00,14:15,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),034,14:15,14:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),035,14:30,14:45,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),036,14:45,15:00,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),037,15:00,15:15,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),038,15:15,15:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),039,15:30,15:45,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),040,15:45,16:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),041,16:00,16:15,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),042,16:15,16:30,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),043,16:30,16:45,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),044,16:45,17:00,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),045,17:00,17:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),046,17:15,17:30,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),047,17:30,17:45,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),048,17:45,18:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),049,18:00,18:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),050,18:15,18:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),051,18:30,18:45,0,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger J.-R.-Becher-Straße  (Parkplatz),052,18:45,19:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer J.-R.-Becher-Str. (Parkplatz),001,06:00,06:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer J.-R.-Becher-Str. (Parkplatz),002,06:15,06:30,0,,0,0,0,0,0
