verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,001,05:00,05:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,002,05:15,05:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,003,05:30,05:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,004,05:45,06:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,005,06:00,06:15,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,006,06:15,06:30,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,007,06:30,06:45,1,,18,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,008,06:45,07:00,0,,20,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,009,07:00,07:15,0,,22,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,010,07:15,07:30,1,,25,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,011,07:30,07:45,2,,24,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,012,07:45,08:00,1,,25,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,013,08:00,08:15,3,,19,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,014,08:15,08:30,1,,22,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,015,08:30,08:45,2,,21,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,016,08:45,09:00,1,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,017,09:00,09:15,6,,23,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,018,09:15,09:30,3,,10,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,019,09:30,09:45,3,,26,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,020,09:45,10:00,2,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,021,10:00,10:15,1,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,022,10:15,10:30,0,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,023,10:30,10:45,5,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,024,10:45,11:00,1,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,025,11:00,11:15,1,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,026,11:15,11:30,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,027,11:30,11:45,0,,8,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,028,11:45,12:00,1,,10,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,029,12:00,12:15,2,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,030,12:15,12:30,1,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,031,12:30,12:45,2,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,032,12:45,13:00,2,,14,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,033,13:00,13:15,1,,14,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,034,13:15,13:30,0,,25,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,035,13:30,13:45,2,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,036,13:45,14:00,1,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,037,14:00,14:15,5,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,038,14:15,14:30,2,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,039,14:30,14:45,1,,7,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,040,14:45,15:00,4,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,041,15:00,15:15,3,,18,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,042,15:15,15:30,2,,17,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,043,15:30,15:45,1,,20,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Kannenstieg,044,15:45,16:00,0,,23,1,0,0,0
