verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,001,06:00,06:15,0,,1,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,002,06:15,06:30,0,,1,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,003,06:30,06:45,0,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,004,06:45,07:00,0,,3,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,005,07:00,07:15,1,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,006,07:15,07:30,2,,2,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,007,07:30,07:45,3,,1,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,008,07:45,08:00,2,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,009,08:00,08:15,3,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,010,08:15,08:30,2,,6,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,011,08:30,08:45,2,,2,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,012,08:45,09:00,5,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,013,09:00,09:15,3,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,014,09:15,09:30,1,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,015,09:30,09:45,5,,10,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,016,09:45,10:00,3,,9,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,017,10:00,10:15,3,,10,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,018,10:15,10:30,5,,10,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,019,10:30,10:45,3,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,020,10:45,11:00,5,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,021,11:00,11:15,6,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,022,11:15,11:30,0,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,023,11:30,11:45,3,,5,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,024,11:45,12:00,1,,6,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,025,12:00,12:15,0,,9,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,026,12:15,12:30,3,,5,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,027,12:30,12:45,2,,4,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,028,12:45,13:00,0,,3,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Klostergraben i.R. Lindenplan,029,13:00,13:15,1,,6,1,0,0,0
