verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),001,06:00,06:15,2,,40,3,0,1,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),002,06:15,06:30,1,,48,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),003,06:30,06:45,3,,47,4,0,3,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),004,06:45,07:00,1,,52,0,2,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),005,07:00,07:15,2,,36,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),006,07:15,07:30,2,,46,7,3,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),007,07:30,07:45,3,,54,7,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),008,07:45,08:00,4,,60,7,0,4,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),009,08:00,08:15,1,,50,3,3,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),010,08:15,08:30,2,,57,6,3,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),011,08:30,08:45,2,,47,2,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),012,08:45,09:00,1,,65,2,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),013,09:00,09:15,2,,79,1,2,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),014,09:15,09:30,1,,64,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),015,09:30,09:45,0,,72,4,5,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),016,09:45,10:00,0,,78,4,5,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),017,10:00,10:15,3,,82,6,5,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),018,10:15,10:30,1,,85,2,2,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),019,10:30,10:45,1,,79,11,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),020,10:45,11:00,0,,87,3,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),021,11:00,11:15,1,,91,8,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),022,11:15,11:30,0,,68,9,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),023,11:30,11:45,2,,84,7,1,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),024,11:45,12:00,2,,75,4,0,1,3
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),025,12:00,12:15,1,,64,10,4,2,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),026,12:15,12:30,0,,76,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),027,12:30,12:45,1,,78,4,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),028,12:45,13:00,2,,74,5,3,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),029,13:00,13:15,2,,98,2,3,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Leipziger Chaussee (N),030,13:15,13:30,1,,90,3,4,0,0
