verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,001,06:00,06:15,1,,8,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,002,06:15,06:30,1,,6,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,003,06:30,06:45,2,,15,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,004,06:45,07:00,3,,11,0,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,005,07:00,07:15,2,,22,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,006,07:15,07:30,6,,22,0,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,007,07:30,07:45,5,,29,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,008,07:45,08:00,0,,34,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,009,08:00,08:15,3,,17,2,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,010,08:15,08:30,3,,25,2,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,011,08:30,08:45,2,,14,1,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,012,08:45,09:00,3,,21,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,013,09:00,09:15,3,,20,0,1,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,014,09:15,09:30,2,,30,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,015,09:30,09:45,2,,39,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,016,09:45,10:00,3,,26,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,017,10:00,10:15,3,,22,3,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,018,10:15,10:30,5,,23,3,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lindenplan i. R.Leipziger Chaussee,019,10:30,10:45,3,,16,1,0,0,0
