verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,001,06:00,06:15,1,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,002,06:15,06:30,4,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,003,06:30,06:45,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,004,06:45,07:00,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,005,07:00,07:15,2,,1,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,006,07:15,07:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,007,07:30,07:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,008,07:45,08:00,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,009,08:00,08:15,1,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,010,08:15,08:30,1,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,011,08:30,08:45,1,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,012,08:45,09:00,2,,5,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,013,09:00,09:15,1,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,014,09:15,09:30,1,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,015,09:30,09:45,3,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,016,09:45,10:00,2,,13,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,017,10:00,10:15,3,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,018,10:15,10:30,1,,5,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,019,10:30,10:45,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,020,10:45,11:00,1,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,021,11:00,11:15,2,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,022,11:15,11:30,1,,4,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,023,11:30,11:45,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,024,11:45,12:00,0,,8,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,025,12:00,12:15,0,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,026,12:15,12:30,0,,4,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,027,12:30,12:45,1,,1,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,028,12:45,13:00,1,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,029,13:00,13:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,030,13:15,13:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,031,13:30,13:45,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,032,13:45,14:00,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,033,14:00,14:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,034,14:15,14:30,0,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,035,14:30,14:45,0,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,036,14:45,15:00,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,037,15:00,15:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Ritterstraße,038,15:15,15:30,0,,7,0,0,0,0
