verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,001,06:00,06:15,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,002,06:15,06:30,1,,8,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,003,06:30,06:45,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,004,06:45,07:00,0,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,005,07:00,07:15,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,006,07:15,07:30,0,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,007,07:30,07:45,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,008,07:45,08:00,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,009,08:00,08:15,0,,2,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,010,08:15,08:30,0,,3,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,011,08:30,08:45,0,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,012,08:45,09:00,0,,4,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,013,09:00,09:15,1,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,014,09:15,09:30,0,,0,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,015,09:30,09:45,0,,2,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,016,09:45,10:00,1,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,017,10:00,10:15,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,018,10:15,10:30,0,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,019,10:30,10:45,1,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,020,10:45,11:00,1,,5,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,021,11:00,11:15,0,,5,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,022,11:15,11:30,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,023,11:30,11:45,0,,5,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,024,11:45,12:00,1,,5,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,025,12:00,12:15,0,,5,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,026,12:15,12:30,1,,2,1,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,027,12:30,12:45,0,,8,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,028,12:45,13:00,1,,6,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,029,13:00,13:15,0,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,030,13:15,13:30,0,,4,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,031,13:30,13:45,0,,3,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,032,13:45,14:00,1,,2,0,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,033,14:00,14:15,2,,6,2,0,0,0
1,C,1,1,CG...(8),Zählstrom,,Geradeausfahrer Lüttgen-Salbker-Weg i. R. Beyendorfer Straße,034,14:15,14:30,1,,11,0,0,0,0
