verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),001,06:00,06:15,5,,29,6,3,2,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),002,06:15,06:30,9,,42,3,1,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),003,06:30,06:45,7,,63,7,0,0,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),004,06:45,07:00,12,,74,3,2,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),005,07:00,07:15,5,,68,6,1,0,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),006,07:15,07:30,18,,58,2,0,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),007,07:30,07:45,16,,70,0,1,0,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),008,07:45,08:00,11,,76,2,0,0,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),009,08:00,08:15,6,,48,4,5,0,2
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),010,08:15,08:30,8,,43,3,2,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),011,08:30,08:45,6,,72,5,0,1,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),012,08:45,09:00,8,,68,7,1,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),013,09:00,09:15,7,,48,2,1,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),014,09:15,09:30,4,,37,2,3,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),015,09:30,09:45,4,,80,3,2,1,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),016,09:45,10:00,2,,29,3,0,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),017,10:00,10:15,7,,60,6,0,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),018,10:15,10:30,5,,56,4,0,0,0
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),019,10:30,10:45,8,,51,1,0,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),020,10:45,11:00,6,,68,7,2,0,1
1,A,1,1,AG..(2),Zählstrom,,Geradeausfahrer Mittagstraße - Brücke  (W),021,11:00,11:15,3,,66,2,2,0,1
