verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,001,06:00,06:15,0,,62,4,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,002,06:15,06:30,2,,122,3,5,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,003,06:30,06:45,0,,146,3,7,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,004,06:45,07:00,0,,102,4,4,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,005,07:00,07:15,0,,107,4,5,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,006,07:15,07:30,1,,91,4,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,007,07:30,07:45,0,,71,5,4,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,008,07:45,08:00,1,,88,8,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,009,08:00,08:15,0,,64,4,10,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,010,08:15,08:30,0,,54,6,5,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,011,08:30,08:45,0,,52,1,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,012,08:45,09:00,0,,45,3,2,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,013,09:00,09:15,0,,74,3,7,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,014,09:15,09:30,0,,29,4,5,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,015,09:30,09:45,0,,30,2,3,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,016,09:45,10:00,0,,35,0,4,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,017,10:00,10:15,0,,42,1,3,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,018,10:15,10:30,0,,37,1,7,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,019,10:30,10:45,0,,51,1,3,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,020,10:45,11:00,0,,32,1,2,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,021,11:00,11:15,1,,39,5,5,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,022,11:15,11:30,1,,40,3,4,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,023,11:30,11:45,1,,32,5,4,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,024,11:45,12:00,0,,39,4,3,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,025,12:00,12:15,0,,42,4,4,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,026,12:15,12:30,0,,36,5,4,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,027,12:30,12:45,0,,40,0,5,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,028,12:45,13:00,0,,27,1,0,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,029,13:00,13:15,0,,49,3,6,7,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,030,13:15,13:30,0,,54,4,4,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,031,13:30,13:45,0,,50,6,3,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,032,13:45,14:00,0,,31,4,4,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,033,14:00,14:15,0,,28,6,3,5,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,034,14:15,14:30,0,,38,3,7,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,035,14:30,14:45,0,,57,2,1,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,036,14:45,15:00,0,,57,4,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,037,15:00,15:15,0,,44,2,2,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,038,15:15,15:30,0,,56,0,1,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,039,15:30,15:45,0,,54,0,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,040,15:45,16:00,0,,34,1,3,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,041,16:00,16:15,0,,53,5,1,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,042,16:15,16:30,0,,66,7,6,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,043,16:30,16:45,0,,65,5,1,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,044,16:45,17:00,0,,65,4,2,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,045,17:00,17:15,0,,51,4,1,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,046,17:15,17:30,0,,54,3,4,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,047,17:30,17:45,0,,63,1,1,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,048,17:45,18:00,1,,51,2,2,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,049,18:00,18:15,0,,46,3,2,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,050,18:15,18:30,1,,65,2,3,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,051,18:30,18:45,0,,44,2,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Nord,052,18:45,19:00,0,,45,0,1,4,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Süd,001,06:00,06:15,0,,47,0,1,2,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Süd,002,06:15,06:30,0,,53,1,3,1,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Süd,003,06:30,06:45,0,,70,1,2,0,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Süd,004,06:45,07:00,0,,56,7,6,4,0
2,D,1,1,DG..(11),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee a. R. Süd,005,07:00,07:15,0,,52,9,7,5,0
