verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,001,06:00,06:15,0,,72,2,2,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,002,06:15,06:30,0,,89,9,4,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,003,06:30,06:45,0,,86,10,5,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,004,06:45,07:00,1,,79,10,10,9,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,005,07:00,07:15,0,,87,10,10,15,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,006,07:15,07:30,1,,99,11,16,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,007,07:30,07:45,1,,71,6,5,5,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,008,07:45,08:00,0,,62,14,5,12,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,009,08:00,08:15,0,,33,9,12,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,010,08:15,08:30,0,,43,6,5,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,011,08:30,08:45,0,,49,6,2,11,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,012,08:45,09:00,0,,36,0,1,4,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,013,09:00,09:15,0,,42,3,7,11,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,014,09:15,09:30,0,,29,5,3,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,015,09:30,09:45,0,,70,7,8,15,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,016,09:45,10:00,0,,31,1,3,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,017,10:00,10:15,0,,37,2,1,6,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,018,10:15,10:30,0,,41,3,3,15,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,019,10:30,10:45,0,,34,1,3,7,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,020,10:45,11:00,0,,34,2,6,13,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,021,11:00,11:15,0,,27,3,0,10,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,022,11:15,11:30,0,,37,5,1,12,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,023,11:30,11:45,0,,31,3,4,13,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,024,11:45,12:00,0,,25,3,2,13,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,025,12:00,12:15,0,,41,8,6,8,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,026,12:15,12:30,0,,31,4,1,11,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Osterweddinger Chaussee  a. R. Nord,027,12:30,12:45,0,,37,3,1,7,0
