verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),001,06:00,06:15,1,,30,2,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),002,06:15,06:30,0,,49,3,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),003,06:30,06:45,0,,45,7,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),004,06:45,07:00,0,,48,10,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),005,07:00,07:15,0,,46,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),006,07:15,07:30,1,,61,5,2,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),007,07:30,07:45,1,,62,5,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),008,07:45,08:00,0,,45,7,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),009,08:00,08:15,0,,43,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),010,08:15,08:30,0,,51,5,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),011,08:30,08:45,0,,53,3,3,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),012,08:45,09:00,2,,41,4,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),013,09:00,09:15,1,,54,4,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),014,09:15,09:30,0,,60,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),015,09:30,09:45,0,,60,4,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),016,09:45,10:00,0,,62,0,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),017,10:00,10:15,0,,50,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),018,10:15,10:30,1,,61,2,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),019,10:30,10:45,0,,59,2,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),020,10:45,11:00,0,,59,4,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),021,11:00,11:15,0,,67,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),022,11:15,11:30,0,,41,3,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),023,11:30,11:45,0,,67,1,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),024,11:45,12:00,0,,51,1,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),025,12:00,12:15,0,,68,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),026,12:15,12:30,0,,55,3,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),027,12:30,12:45,0,,37,5,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),028,12:45,13:00,0,,44,5,2,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),029,13:00,13:15,1,,60,6,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),030,13:15,13:30,0,,57,6,1,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),031,13:30,13:45,1,,51,3,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),032,13:45,14:00,1,,54,4,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),033,14:00,14:15,1,,68,7,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),034,14:15,14:30,0,,48,7,2,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),035,14:30,14:45,2,,71,3,1,1,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),036,14:45,15:00,1,,62,4,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),037,15:00,15:15,2,,69,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),038,15:15,15:30,1,,66,3,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),039,15:30,15:45,1,,72,3,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),040,15:45,16:00,1,,77,2,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),041,16:00,16:15,1,,78,3,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),042,16:15,16:30,0,,95,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),043,16:30,16:45,1,,85,0,1,1,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),044,16:45,17:00,1,,83,3,1,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),045,17:00,17:15,1,,67,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),046,17:15,17:30,1,,99,3,0,1,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),047,17:30,17:45,2,,72,2,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),048,17:45,18:00,0,,65,2,0,0,2
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),049,18:00,18:15,1,,61,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Scharnhorstring(i. R. Olvenstedter Chaussee),050,18:15,18:30,0,,61,0,0,0,2
