verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),001,06:00,06:15,5,,40,3,0,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),002,06:15,06:30,3,,70,2,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),003,06:30,06:45,8,,73,8,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),004,06:45,07:00,6,,89,4,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),005,07:00,07:15,10,,92,7,6,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),006,07:15,07:30,10,,131,10,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),007,07:30,07:45,6,,102,6,4,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),008,07:45,08:00,7,,96,10,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),009,08:00,08:15,10,,79,4,9,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),010,08:15,08:30,4,,70,6,6,3,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),011,08:30,08:45,4,,97,7,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),012,08:45,09:00,1,,90,8,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),013,09:00,09:15,1,,104,3,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),014,09:15,09:30,1,,85,4,1,1,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),015,09:30,09:45,8,,98,14,6,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),016,09:45,10:00,2,,83,8,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),017,10:00,10:15,5,,102,11,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),018,10:15,10:30,3,,84,11,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),019,10:30,10:45,4,,92,8,4,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),020,10:45,11:00,4,,101,10,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),021,11:00,11:15,3,,93,3,2,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),022,11:15,11:30,2,,88,6,3,2,1
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),023,11:30,11:45,2,,97,5,3,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),024,11:45,12:00,2,,97,11,4,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),025,12:00,12:15,3,,92,11,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),026,12:15,12:30,3,,100,6,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),027,12:30,12:45,4,,113,11,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),028,12:45,13:00,4,,79,6,1,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),029,13:00,13:15,3,,105,9,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),030,13:15,13:30,8,,100,5,2,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),031,13:30,13:45,0,,3,95,6,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),032,13:45,14:00,4,,99,9,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),033,14:00,14:15,5,,92,5,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),034,14:15,14:30,8,,100,2,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),035,14:30,14:45,8,,132,2,3,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),036,14:45,15:00,3,,128,5,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),037,15:00,15:15,6,,138,5,1,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),038,15:15,15:30,8,,133,5,1,2,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),039,15:30,15:45,8,,143,5,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),040,15:45,16:00,5,,160,6,5,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),041,16:00,16:15,10,,149,14,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),042,16:15,16:30,5,,154,7,1,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),043,16:30,16:45,12,,167,7,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),044,16:45,17:00,8,,174,6,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),045,17:00,17:15,11,,172,7,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),046,17:15,17:30,6,,139,6,2,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),047,17:30,17:45,9,,135,4,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),048,17:45,18:00,9,,125,2,1,1,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),049,18:00,18:15,3,,113,5,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),050,18:15,18:30,9,,122,7,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),051,18:30,18:45,5,,94,2,0,0,0
1,B,1,1,BG1,Zählstrom,,Geradeausfahrer 1 Schönebecker Straße (N),052,18:45,19:00,8,,97,4,0,0,1
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),001,06:00,06:15,0,,2,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),002,06:15,06:30,0,,4,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),003,06:30,06:45,0,,3,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),004,06:45,07:00,0,,7,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),005,07:00,07:15,0,,6,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),006,07:15,07:30,0,,13,0,0,0,0
2,B,2,1,BG2,Zählstrom,,Geradeausfahrer 2 Schönebecker Straße (N),007,07:30,07:45,0,,20,0,0,0,0
