verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),001,06:00,06:15,2,,5,1,0,1,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),002,06:15,06:30,2,,7,4,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),003,06:30,06:45,4,,15,1,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),004,06:45,07:00,1,,12,4,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),005,07:00,07:15,4,,34,1,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),006,07:15,07:30,5,,34,4,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),007,07:30,07:45,3,,13,7,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),008,07:45,08:00,2,,16,3,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),009,08:00,08:15,4,,14,7,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),010,08:15,08:30,1,,20,3,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),011,08:30,08:45,0,,11,3,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),012,08:45,09:00,0,,19,2,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),013,09:00,09:15,0,,20,3,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),014,09:15,09:30,0,,18,1,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),015,09:30,09:45,0,,15,4,1,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),016,09:45,10:00,0,,22,0,0,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),017,10:00,10:15,0,,9,0,2,0,0
1,B,1,1,BR...(4),Zählstrom,,Rechtsabbieger Schönebecker Straße (NW),018,10:15,10:30,0,,6,2,3,0,0
