verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),001,05:00,05:15,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),002,05:15,05:30,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),003,05:30,05:45,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),004,05:45,06:00,0,,0,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),005,06:00,06:15,2,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),006,06:15,06:30,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),007,06:30,06:45,2,,16,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),008,06:45,07:00,0,,13,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),009,07:00,07:15,2,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),010,07:15,07:30,2,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),011,07:30,07:45,1,,24,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),012,07:45,08:00,0,,25,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),013,08:00,08:15,1,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),014,08:15,08:30,1,,12,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),015,08:30,08:45,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),016,08:45,09:00,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),017,09:00,09:15,4,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),018,09:15,09:30,4,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),019,09:30,09:45,2,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),020,09:45,10:00,0,,12,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),021,10:00,10:15,2,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),022,10:15,10:30,2,,16,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Warschauer Straße(W),023,10:30,10:45,3,,12,3,0,0,0
