verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),001,06:00,06:15,0,,18,2,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),002,06:15,06:30,0,,30,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),003,06:30,06:45,0,,40,4,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),004,06:45,07:00,0,,37,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),005,07:00,07:15,0,,29,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),006,07:15,07:30,0,,32,6,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),007,07:30,07:45,0,,32,4,2,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),008,07:45,08:00,0,,31,8,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),009,08:00,08:15,0,,50,3,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),010,08:15,08:30,0,,20,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),011,08:30,08:45,0,,22,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),012,08:45,09:00,0,,30,4,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),013,09:00,09:15,0,,17,6,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),014,09:15,09:30,0,,18,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),015,09:30,09:45,0,,15,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),016,09:45,10:00,0,,19,7,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),017,10:00,10:15,0,,10,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),018,10:15,10:30,0,,11,6,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),019,10:30,10:45,0,,21,3,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),020,10:45,11:00,0,,20,3,3,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),021,11:00,11:15,0,,26,4,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),022,11:15,11:30,0,,16,3,5,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),023,11:30,11:45,0,,28,6,5,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),024,11:45,12:00,0,,16,2,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),025,12:00,12:15,0,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),026,12:15,12:30,0,,12,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),027,12:30,12:45,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),028,12:45,13:00,0,,23,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),029,13:00,13:15,0,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),030,13:15,13:30,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),031,13:30,13:45,0,,28,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),032,13:45,14:00,0,,31,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),033,14:00,14:15,0,,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),034,14:15,14:30,0,,33,1,1,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),035,14:30,14:45,0,,31,2,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),036,14:45,15:00,0,,26,3,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),037,15:00,15:15,0,,22,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),038,15:15,15:30,0,,32,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),039,15:30,15:45,0,,23,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),040,15:45,16:00,0,,27,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),041,16:00,16:15,0,,37,2,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),042,16:15,16:30,0,,41,4,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),043,16:30,16:45,0,,36,6,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),044,16:45,17:00,0,,46,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),045,17:00,17:15,0,,26,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),046,17:15,17:30,0,,30,7,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Neuer Renneweg (W),047,17:30,17:45,0,,27,3,0,0,0
