verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,001,06:00,06:15,0,,56,2,2,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,002,06:15,06:30,0,,78,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,003,06:30,06:45,2,,83,7,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,004,06:45,07:00,1,,107,5,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,005,07:00,07:15,2,,120,2,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,006,07:15,07:30,0,,79,8,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,007,07:30,07:45,1,,96,2,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,008,07:45,08:00,1,,60,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,009,08:00,08:15,1,,55,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,010,08:15,08:30,0,,36,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,011,08:30,08:45,1,,48,2,4,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,012,08:45,09:00,0,,57,3,7,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,013,09:00,09:15,0,,47,1,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,014,09:15,09:30,0,,32,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,015,09:30,09:45,0,,44,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,016,09:45,10:00,0,,38,2,2,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,017,10:00,10:15,0,,33,1,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,018,10:15,10:30,0,,25,1,1,2,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,019,10:30,10:45,0,,26,3,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,020,10:45,11:00,2,,27,4,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,021,11:00,11:15,0,,27,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,022,11:15,11:30,0,,32,5,2,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,023,11:30,11:45,0,,38,4,1,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,024,11:45,12:00,0,,29,2,3,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,025,12:00,12:15,0,,21,2,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,026,12:15,12:30,0,,17,1,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Zerrenerstraße (W) i. R. Kümmelsberg,027,12:30,12:45,0,,26,1,0,1,1
