verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,001,06:00,06:15,0,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,002,06:15,06:30,0,,16,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,003,06:30,06:45,0,,19,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,004,06:45,07:00,0,,14,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,005,07:00,07:15,0,,28,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,006,07:15,07:30,0,,39,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,007,07:30,07:45,0,,37,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,008,07:45,08:00,0,,16,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,009,08:00,08:15,0,,14,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,010,08:15,08:30,0,,22,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,011,08:30,08:45,0,,14,5,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,012,08:45,09:00,0,,15,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,013,09:00,09:15,0,,20,0,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,014,09:15,09:30,0,,29,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,015,09:30,09:45,0,,15,2,0,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,016,09:45,10:00,1,,12,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,017,10:00,10:15,0,,10,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,018,10:15,10:30,0,,14,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,019,10:30,10:45,0,,18,3,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,020,10:45,11:00,0,,18,1,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,021,11:00,11:15,1,,17,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,022,11:15,11:30,0,,9,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,023,11:30,11:45,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,024,11:45,12:00,0,,13,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,025,12:00,12:15,0,,3,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,026,12:15,12:30,0,,12,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,027,12:30,12:45,0,,16,2,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,028,12:45,13:00,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,029,13:00,13:15,0,,9,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,030,13:15,13:30,0,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,031,13:30,13:45,0,,7,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,032,13:45,14:00,0,,13,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,033,14:00,14:15,0,,7,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,034,14:15,14:30,0,,19,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,035,14:30,14:45,0,,18,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,036,14:45,15:00,0,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,037,15:00,15:15,0,,16,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,038,15:15,15:30,0,,34,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,039,15:30,15:45,0,,19,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,040,15:45,16:00,0,,18,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,041,16:00,16:15,1,,25,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,042,16:15,16:30,0,,25,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,043,16:30,16:45,0,,31,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,044,16:45,17:00,0,,31,5,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,045,17:00,17:15,0,,22,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,046,17:15,17:30,0,,29,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,047,17:30,17:45,0,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,048,17:45,18:00,0,,18,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,049,18:00,18:15,0,,11,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,050,18:15,18:30,0,,18,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,051,18:30,18:45,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Sohlener Straße,052,18:45,19:00,0,,13,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,001,06:00,06:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,002,06:15,06:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,003,06:30,06:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,004,06:45,07:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,005,07:00,07:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,006,07:15,07:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,007,07:30,07:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,008,07:45,08:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,009,08:00,08:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,010,08:15,08:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,011,08:30,08:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,012,08:45,09:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,013,09:00,09:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,014,09:15,09:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,015,09:30,09:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,016,09:45,10:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,017,10:00,10:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,018,10:15,10:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,019,10:30,10:45,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,020,10:45,11:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,021,11:00,11:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,022,11:15,11:30,1,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,023,11:30,11:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,024,11:45,12:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,025,12:00,12:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,026,12:15,12:30,2,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,027,12:30,12:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,028,12:45,13:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,029,13:00,13:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,030,13:15,13:30,0,,0,1,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,031,13:30,13:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,032,13:45,14:00,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,033,14:00,14:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,034,14:15,14:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,035,14:30,14:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,036,14:45,15:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,037,15:00,15:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,038,15:15,15:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,039,15:30,15:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,040,15:45,16:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,041,16:00,16:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,042,16:15,16:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,043,16:30,16:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,044,16:45,17:00,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,045,17:00,17:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,046,17:15,17:30,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,047,17:30,17:45,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,048,17:45,18:00,1,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,049,18:00,18:15,0,,0,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,050,18:15,18:30,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,051,18:30,18:45,0,,2,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Sohlener Straße,052,18:45,19:00,0,,0,0,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Sohlener Straße,001,06:00,06:15,0,,9,1,2,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Sohlener Straße,002,06:15,06:30,0,,14,5,0,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Sohlener Straße,003,06:30,06:45,2,,12,4,1,0,0
3,A,1,3,AL...(3),Zählstrom,,Linksabbieger Sohlener Straße,004,06:45,07:00,0,,19,1,0,0,0
