verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,002,06:15,06:30,2,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,003,06:30,06:45,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,004,06:45,07:00,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,005,07:00,07:15,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,006,07:15,07:30,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,007,07:30,07:45,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,008,07:45,08:00,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,009,08:00,08:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,010,08:15,08:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,011,08:30,08:45,1,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,012,08:45,09:00,1,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,013,09:00,09:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,014,09:15,09:30,0,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,015,09:30,09:45,2,,3,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,016,09:45,10:00,1,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,017,10:00,10:15,0,,0,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,018,10:15,10:30,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,019,10:30,10:45,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,020,10:45,11:00,1,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,021,11:00,11:15,0,,2,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Weferlinger Straße,022,11:15,11:30,0,,2,0,0,0,0
