verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,001,06:00,06:15,0,,6,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,002,06:15,06:30,0,,11,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,003,06:30,06:45,2,,9,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,004,06:45,07:00,0,,7,1,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,005,07:00,07:15,3,,15,4,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,006,07:15,07:30,3,,17,3,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,007,07:30,07:45,2,,8,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,008,07:45,08:00,2,,19,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,009,08:00,08:15,1,,13,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,010,08:15,08:30,0,,10,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,011,08:30,08:45,3,,17,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,012,08:45,09:00,0,,13,2,2,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,013,09:00,09:15,1,,13,2,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,014,09:15,09:30,2,,16,4,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,015,09:30,09:45,4,,16,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,016,09:45,10:00,2,,17,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,017,10:00,10:15,3,,11,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,018,10:15,10:30,2,,6,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,019,10:30,10:45,3,,19,2,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,020,10:45,11:00,1,,27,1,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,021,11:00,11:15,0,,20,3,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,022,11:15,11:30,0,,24,4,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,023,11:30,11:45,3,,24,1,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,024,11:45,12:00,0,,18,0,0,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Breitscheidstraße i. R. Schweinebrücke,025,12:00,12:15,0,,27,7,0,0,0
