verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,001,06:00,06:15,6,,25,1,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,002,06:15,06:30,3,,30,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,003,06:30,06:45,10,,44,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,004,06:45,07:00,14,,61,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,005,07:00,07:15,12,,49,7,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,006,07:15,07:30,12,,62,1,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,007,07:30,07:45,21,,68,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,008,07:45,08:00,13,,61,7,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,009,08:00,08:15,7,,77,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,010,08:15,08:30,11,,48,6,4,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,011,08:30,08:45,10,,64,5,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,012,08:45,09:00,15,,69,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,013,09:00,09:15,9,,71,3,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,014,09:15,09:30,13,,87,4,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,015,09:30,09:45,21,,87,5,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Breiter Weg i. R. Hasselbachplatz,016,09:45,10:00,11,,67,3,2,0,0
