verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),001,06:00,06:15,3,,88,1,2,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),002,06:15,06:30,1,,110,4,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),003,06:30,06:45,0,,108,5,3,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),004,06:45,07:00,4,,143,4,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),005,07:00,07:15,4,,124,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),006,07:15,07:30,1,,139,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),007,07:30,07:45,6,,145,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),008,07:45,08:00,3,,125,2,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),009,08:00,08:15,1,,103,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),010,08:15,08:30,3,,106,4,6,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),011,08:30,08:45,2,,138,5,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),012,08:45,09:00,0,,126,6,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),013,09:00,09:15,3,,143,3,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),014,09:15,09:30,0,,107,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),015,09:30,09:45,4,,127,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),016,09:45,10:00,3,,118,8,1,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),017,10:00,10:15,2,,132,5,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),018,10:15,10:30,0,,102,8,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),019,10:30,10:45,1,,118,9,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),020,10:45,11:00,5,,94,8,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),021,11:00,11:15,4,,83,4,3,2,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),022,11:15,11:30,3,,82,10,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),023,11:30,11:45,4,,74,12,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),024,11:45,12:00,2,,102,6,5,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),025,12:00,12:15,4,,84,6,3,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),026,12:15,12:30,3,,91,3,4,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),027,12:30,12:45,0,,76,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),028,12:45,13:00,1,,92,5,0,0,2
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),029,13:00,13:15,4,,109,7,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),030,13:15,13:30,1,,87,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),031,13:30,13:45,3,,99,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),032,13:45,14:00,3,,85,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),033,14:00,14:15,3,,72,7,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),034,14:15,14:30,3,,97,8,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),035,14:30,14:45,4,,101,6,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),036,14:45,15:00,5,,113,6,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),037,15:00,15:15,1,,110,11,2,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),038,15:15,15:30,1,,125,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),039,15:30,15:45,1,,81,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),040,15:45,16:00,0,,109,9,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),041,16:00,16:15,3,,151,6,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),042,16:15,16:30,3,,127,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),043,16:30,16:45,1,,110,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),044,16:45,17:00,1,,124,4,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),045,17:00,17:15,3,,102,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),046,17:15,17:30,2,,88,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Am Krökentor (NW),047,17:30,17:45,0,,109,2,0,0,0
