verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,001,06:00,06:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,002,06:15,06:30,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,003,06:30,06:45,2,,10,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,004,06:45,07:00,3,,7,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,005,07:00,07:15,0,,5,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,006,07:15,07:30,0,,5,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,007,07:30,07:45,8,,7,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,008,07:45,08:00,3,,14,2,0,0,1
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,009,08:00,08:15,0,,11,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,010,08:15,08:30,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,011,08:30,08:45,2,,12,1,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,012,08:45,09:00,0,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,013,09:00,09:15,2,,9,2,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,014,09:15,09:30,3,,13,4,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,015,09:30,09:45,0,,23,5,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,016,09:45,10:00,0,,16,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Fermersleber Weg,017,10:00,10:15,0,,26,0,2,0,0
