verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,001,06:00,06:15,1,,4,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,002,06:15,06:30,1,,15,3,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,003,06:30,06:45,2,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,004,06:45,07:00,0,,20,4,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,005,07:00,07:15,1,,30,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,006,07:15,07:30,1,,32,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,007,07:30,07:45,1,,24,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,008,07:45,08:00,1,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,009,08:00,08:15,0,,22,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,010,08:15,08:30,2,,13,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,011,08:30,08:45,1,,17,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,012,08:45,09:00,1,,17,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,013,09:00,09:15,1,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,014,09:15,09:30,2,,7,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,015,09:30,09:45,1,,21,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,016,09:45,10:00,1,,17,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,017,10:00,10:15,0,,12,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,018,10:15,10:30,1,,16,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,019,10:30,10:45,2,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,020,10:45,11:00,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,021,11:00,11:15,0,,15,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,022,11:15,11:30,3,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,023,11:30,11:45,1,,15,0,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,024,11:45,12:00,1,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,025,12:00,12:15,2,,19,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,026,12:15,12:30,2,,9,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,027,12:30,12:45,1,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,028,12:45,13:00,1,,19,1,2,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,029,13:00,13:15,0,,21,2,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,030,13:15,13:30,1,,16,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,031,13:30,13:45,3,,15,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,032,13:45,14:00,0,,21,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,033,14:00,14:15,0,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,034,14:15,14:30,2,,13,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,035,14:30,14:45,0,,16,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,036,14:45,15:00,0,,26,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,037,15:00,15:15,6,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,038,15:15,15:30,2,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,039,15:30,15:45,0,,10,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,040,15:45,16:00,0,,14,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,041,16:00,16:15,1,,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,042,16:15,16:30,2,,24,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,043,16:30,16:45,1,,21,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,044,16:45,17:00,4,,26,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,045,17:00,17:15,0,,20,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,046,17:15,17:30,2,,17,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,047,17:30,17:45,4,,16,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,048,17:45,18:00,3,,14,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,049,18:00,18:15,0,,21,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,050,18:15,18:30,2,,17,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,051,18:30,18:45,1,,21,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Salzmannstaße,052,18:45,19:00,0,,3,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Salzmannstraße,001,06:00,06:15,0,,1,0,0,0,0
2,A,1,2,AG...(2),Zählstrom,,Geradeausfahrer Salzmannstraße,002,06:15,06:30,0,,0,0,0,0,0
