verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),001,06:00,06:15,10,,95,8,3,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),002,06:15,06:30,7,,76,10,0,0,4
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),003,06:30,06:45,1,,89,5,2,0,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),004,06:45,07:00,16,,113,6,0,1,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),005,07:00,07:15,12,,105,7,0,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),006,07:15,07:30,22,,77,14,3,0,3
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),007,07:30,07:45,8,,55,2,3,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),008,07:45,08:00,4,,72,6,2,3,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),009,08:00,08:15,10,,79,7,2,1,4
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),010,08:15,08:30,9,,75,6,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),011,08:30,08:45,13,,102,10,3,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),012,08:45,09:00,6,,89,5,4,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),013,09:00,09:15,8,,86,12,1,1,1
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),014,09:15,09:30,2,,93,9,1,0,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),015,09:30,09:45,8,,84,9,2,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),016,09:45,10:00,6,,91,7,4,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),017,10:00,10:15,2,,93,6,1,0,0
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),018,10:15,10:30,12,,97,9,3,1,2
1,A,1,1,AG...(2),Zählstrom,,Geradeausfahrer Liebknechtstraße(W),019,10:30,10:45,6,,77,5,3,1,3
