verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,001,06:00,06:15,0,,1,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,002,06:15,06:30,1,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,003,06:30,06:45,0,,0,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,004,06:45,07:00,0,,0,4,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,005,07:00,07:15,0,,1,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,006,07:15,07:30,0,,3,1,3,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,007,07:30,07:45,2,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,008,07:45,08:00,4,,3,0,0,1,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,009,08:00,08:15,0,,3,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,010,08:15,08:30,0,,5,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,011,08:30,08:45,0,,7,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,012,08:45,09:00,0,,4,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,013,09:00,09:15,0,,2,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,014,09:15,09:30,0,,2,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,015,09:30,09:45,2,,4,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,016,09:45,10:00,2,,9,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,017,10:00,10:15,0,,8,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,018,10:15,10:30,2,,5,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,019,10:30,10:45,3,,8,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,020,10:45,11:00,5,,8,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,021,11:00,11:15,4,,7,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,022,11:15,11:30,1,,4,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,023,11:30,11:45,1,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,024,11:45,12:00,0,,5,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,025,12:00,12:15,0,,6,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,026,12:15,12:30,1,,4,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,027,12:30,12:45,0,,3,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,028,12:45,13:00,0,,5,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,029,13:00,13:15,0,,6,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,030,13:15,13:30,0,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,031,13:30,13:45,0,,6,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,032,13:45,14:00,0,,5,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,033,14:00,14:15,0,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,034,14:15,14:30,1,,5,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,035,14:30,14:45,0,,3,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,036,14:45,15:00,0,,10,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,037,15:00,15:15,1,,7,3,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,038,15:15,15:30,1,,6,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,039,15:30,15:45,0,,7,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,040,15:45,16:00,0,,7,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,041,16:00,16:15,2,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,042,16:15,16:30,0,,8,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,043,16:30,16:45,0,,6,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,044,16:45,17:00,0,,8,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,045,17:00,17:15,0,,6,1,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,046,17:15,17:30,0,,4,2,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,047,17:30,17:45,0,,8,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,048,17:45,18:00,0,,11,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,049,18:00,18:15,1,,5,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,050,18:15,18:30,0,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,051,18:30,18:45,1,,3,0,0,0,0
1,A,1,1,AR1,Zählstrom,,Rechtsabbieger 1 Olvenstedter Straße (W) Edeka,052,18:45,19:00,2,,8,0,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,001,06:00,06:15,1,,9,0,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,002,06:15,06:30,1,,14,0,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,003,06:30,06:45,0,,25,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,004,06:45,07:00,3,,29,5,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,005,07:00,07:15,1,,42,1,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,006,07:15,07:30,0,,40,3,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,007,07:30,07:45,5,,37,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,008,07:45,08:00,0,,29,1,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,009,08:00,08:15,2,,34,0,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,010,08:15,08:30,2,,23,3,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,011,08:30,08:45,1,,25,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,012,08:45,09:00,1,,30,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,013,09:00,09:15,1,,23,3,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,014,09:15,09:30,0,,19,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,015,09:30,09:45,1,,22,4,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,016,09:45,10:00,4,,21,5,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,017,10:00,10:15,2,,17,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,018,10:15,10:30,4,,22,3,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,019,10:30,10:45,3,,27,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,020,10:45,11:00,2,,24,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,021,11:00,11:15,0,,26,2,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,022,11:15,11:30,2,,17,3,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,023,11:30,11:45,5,,28,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,024,11:45,12:00,1,,22,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,025,12:00,12:15,2,,33,3,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,026,12:15,12:30,2,,23,2,1,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,027,12:30,12:45,1,,15,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,028,12:45,13:00,2,,14,0,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,029,13:00,13:15,0,,33,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,030,13:15,13:30,2,,23,3,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,031,13:30,13:45,1,,21,1,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,032,13:45,14:00,1,,32,0,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,033,14:00,14:15,1,,29,2,0,0,0
2,A,1,2,AG1,Zählstrom,,Geradeausfahrer 1 Olvenstedter Straße (W) Edeka,034,14:15,14:30,1,,30,0,0,0,0
