verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),001,06:00,06:15,0,,29,1,0,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),002,06:15,06:30,0,,35,1,2,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),003,06:30,06:45,0,,43,2,2,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),004,06:45,07:00,0,,44,2,0,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),005,07:00,07:15,0,,66,1,0,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),006,07:15,07:30,0,,56,4,2,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),007,07:30,07:45,0,,52,1,2,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),008,07:45,08:00,0,,23,1,0,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),009,08:00,08:15,0,,26,4,4,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),010,08:15,08:30,0,,32,0,4,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),011,08:30,08:45,0,,34,3,2,2,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),012,08:45,09:00,0,,34,1,1,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),013,09:00,09:15,0,,61,3,0,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),014,09:15,09:30,0,,34,1,1,3,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),015,09:30,09:45,0,,25,5,3,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),016,09:45,10:00,0,,45,4,4,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),017,10:00,10:15,0,,48,4,2,2,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),018,10:15,10:30,0,,40,6,1,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),019,10:30,10:45,0,,52,6,2,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),020,10:45,11:00,0,,46,5,1,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),021,11:00,11:15,0,,49,4,2,2,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),022,11:15,11:30,0,,42,6,2,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),023,11:30,11:45,0,,47,5,1,2,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),024,11:45,12:00,0,,32,0,2,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),025,12:00,12:15,0,,60,8,4,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),026,12:15,12:30,0,,50,2,2,2,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),027,12:30,12:45,0,,42,2,0,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),028,12:45,13:00,0,,40,3,1,1,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),029,13:00,13:15,0,,68,2,0,0,0
1,A,1,1,AG 1,Zählstrom,,Geradeausfahrer 1 Ottersleber Chaussee (W),030,13:15,13:30,0,,44,2,2,2,0
