verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,001,06:00,06:15,0,,2,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,002,06:15,06:30,0,,3,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,003,06:30,06:45,0,,7,0,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,004,06:45,07:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,005,07:00,07:15,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,006,07:15,07:30,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,007,07:30,07:45,0,,12,0,0,1,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,008,07:45,08:00,1,,7,1,1,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,009,08:00,08:15,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,010,08:15,08:30,0,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,011,08:30,08:45,0,,6,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,012,08:45,09:00,0,,8,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,013,09:00,09:15,0,,6,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,014,09:15,09:30,0,,10,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,015,09:30,09:45,3,,8,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,016,09:45,10:00,1,,11,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,017,10:00,10:15,0,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,018,10:15,10:30,1,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,019,10:30,10:45,0,,8,2,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,020,10:45,11:00,0,,12,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,021,11:00,11:15,0,,12,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,022,11:15,11:30,0,,10,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,023,11:30,11:45,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,024,11:45,12:00,1,,5,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,025,12:00,12:15,1,,4,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,026,12:15,12:30,0,,9,0,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,027,12:30,12:45,0,,6,1,0,0,0
1,A,1,1,AR...(1),Zählstrom,,Rechtsabbieger Stresemannstraße,028,12:45,13:00,0,,5,1,0,0,0
