verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),001,06:00,06:15,1,,15,0,2,3,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),002,06:15,06:30,2,,7,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),003,06:30,06:45,0,,14,3,0,0,1
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),004,06:45,07:00,0,,6,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),005,07:00,07:15,1,,18,0,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),006,07:15,07:30,0,,10,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),007,07:30,07:45,2,,14,0,4,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),008,07:45,08:00,0,,14,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),009,08:00,08:15,1,,15,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),010,08:15,08:30,0,,11,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),011,08:30,08:45,2,,18,2,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),012,08:45,09:00,1,,16,0,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),013,09:00,09:15,0,,10,1,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),014,09:15,09:30,1,,8,3,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),015,09:30,09:45,0,,11,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),016,09:45,10:00,1,,17,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),017,10:00,10:15,0,,14,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),018,10:15,10:30,2,,12,1,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),019,10:30,10:45,3,,8,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),020,10:45,11:00,5,,5,0,0,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),021,11:00,11:15,0,,12,0,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),022,11:15,11:30,1,,11,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),023,11:30,11:45,1,,10,0,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),024,11:45,12:00,0,,8,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),025,12:00,12:15,2,,12,2,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),026,12:15,12:30,0,,9,1,1,1,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),027,12:30,12:45,0,,9,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),028,12:45,13:00,0,,7,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),029,13:00,13:15,1,,14,0,0,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),030,13:15,13:30,2,,9,4,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),031,13:30,13:45,1,,9,0,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),032,13:45,14:00,4,,6,0,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),033,14:00,14:15,5,,8,3,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),034,14:15,14:30,1,,9,0,2,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),035,14:30,14:45,0,,14,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),036,14:45,15:00,1,,6,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),037,15:00,15:15,0,,11,1,3,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),038,15:15,15:30,0,,11,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),039,15:30,15:45,1,,12,2,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),040,15:45,16:00,1,,8,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),041,16:00,16:15,0,,16,1,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),042,16:15,16:30,0,,11,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),043,16:30,16:45,2,,20,3,2,2,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),044,16:45,17:00,0,,14,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),045,17:00,17:15,0,,20,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),046,17:15,17:30,0,,10,1,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),047,17:30,17:45,0,,14,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),048,17:45,18:00,1,,12,0,1,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),049,18:00,18:15,1,,15,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),050,18:15,18:30,0,,10,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),051,18:30,18:45,1,,4,0,0,0,0
1,B,1,1,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße (N),052,18:45,19:00,1,,3,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),001,06:00,06:15,0,,1,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),002,06:15,06:30,0,,1,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),003,06:30,06:45,0,,0,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),004,06:45,07:00,0,,1,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),005,07:00,07:15,0,,0,0,0,1,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),006,07:15,07:30,0,,0,0,0,1,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),007,07:30,07:45,0,,1,1,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),008,07:45,08:00,0,,1,0,1,1,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),009,08:00,08:15,0,,0,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),010,08:15,08:30,0,,0,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),011,08:30,08:45,0,,2,0,0,0,0
2,B,1,2,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße (N),012,08:45,09:00,0,,0,0,0,1,0
